wafer_id,line,step,chamber,recipe,process_time_min,waiting_time_min,temperature_c,pressure_bar,humidity_pct,equipment_age_years,timestamp,day
W0009,L1,etch,E2,R201,12.9,2.6,211.6,3.13,52.1,6.0,2026-05-01 10:02:56.271982,0
W0009,L1,deposit,D2,R301,10.0,1.2,214.8,2.92,56.0,2.1,2026-05-01 01:19:03.360460,0
W0009,L1,implant,I2,R401,8.2,1.2,213.5,3.14,49.2,11.9,2026-05-01 00:55:16.152665,0
W0010,L2,litho,C3,R102,10.4,1.7,215.1,2.97,54.5,2.0,2026-05-01 21:13:09.762069,0
W0010,L2,etch,E2,R202,13.1,1.1,193.0,3.09,52.2,9.2,2026-05-01 04:38:36.129573,0
W0010,L2,deposit,D2,R301,13.5,2.1,194.5,3.15,44.1,6.9,2026-05-01 10:30:40.434106,0
W0010,L2,implant,I1,R401,11.8,2.3,168.2,3.12,42.3,4.1,2026-05-01 03:03:36.962984,0
W0011,L2,litho,C1,R102,11.6,1.1,161.9,3.01,45.5,11.1,2026-05-02 23:42:27.817360,1
W0011,L2,etch,E2,R201,14.8,0.8,198.1,3.12,49.9,3.3,2026-05-02 05:56:03.141091,1
W0011,L2,deposit,D2,R301,10.4,0.7,213.4,3.18,52.1,2.7,2026-05-02 10:49:27.162998,1
W0011,L2,implant,I1,R401,5.7,1.4,163.9,2.99,56.2,5.0,2026-05-02 05:13:34.756138,1
W0012,L1,litho,C1,R101,5.9,1.9,211.8,3.02,46.2,4.4,2026-05-02 19:32:47.000857,1
W0012,L1,etch,E1,R201,9.3,2.2,194.8,2.88,52.3,11.1,2026-05-02 13:12:40.381372,1
W0012,L1,deposit,D2,R301,7.4,2.2,215.3,3.18,45.7,11.3,2026-05-02 13:43:37.366692,1
W0012,L1,implant,I2,R401,12.1,1.0,191.7,2.96,54.0,9.0,2026-05-02 16:49:17.840736,1
W0013,L3,litho,C2,R101,14.1,2.8,192.4,3.07,42.6,10.3,2026-05-02 04:53:48.123299,1
W0013,L3,etch,E2,R201,12.6,0.5,212.3,3.0,59.9,2.4,2026-05-02 18:53:08.770771,1
W0013,L3,deposit,D1,R301,8.8,3.0,164.8,2.8,56.4,4.3,2026-05-02 18:18:06.316211,1
W0013,L3,implant,I2,R401,9.8,2.1,168.5,3.12,57.5,7.7,2026-05-02 23:41:12.461974,1
W0014,L1,litho,C1,R102,8.7,1.9,219.6,2.94,42.4,10.2,2026-05-02 07:14:13.094798,1
W0014,L1,etch,E1,R201,13.1,1.1,196.8,2.88,51.2,5.8,2026-05-02 05:09:49.222228,1
W0014,L1,deposit,D1,R301,14.6,2.4,208.4,2.93,54.5,3.7,2026-05-02 21:49:55.834668,1
W0014,L1,implant,I2,R401,9.3,1.8,169.5,3.19,54.4,2.8,2026-05-02 10:14:21.942611,1
W0015,L1,litho,C2,R101,9.1,2.5,162.1,3.11,55.5,7.4,2026-05-02 16:07:37.425598,1
W0015,L1,etch,E2,R202,9.2,2.4,199.6,3.18,54.9,10.2,2026-05-02 01:50:52.798527,1
W0015,L1,deposit,D2,R301,14.7,2.3,192.3,2.82,49.2,7.3,2026-05-02 11:23:29.741852,1
W0015,L1,implant,I1,R401,6.0,2.4,200.6,3.0,55.6,11.1,2026-05-02 14:27:08.665074,1
W0016,L2,litho,C2,R101,14.1,1.3,212.6,3.14,52.3,11.0,2026-05-02 22:39:08.045978,1
W0016,L2,etch,E1,R201,8.5,1.9,196.2,2.87,49.1,7.0,2026-05-02 20:10:23.591765,1
W0016,L2,deposit,D2,R301,5.8,2.5,188.2,2.85,40.7,7.6,2026-05-02 14:15:16.370337,1
W0016,L2,implant,I2,R401,10.2,1.6,207.4,3.19,49.7,6.9,2026-05-02 19:47:06.591313,1
W0017,L2,litho,C1,R102,14.0,0.6,173.7,2.8,43.0,10.5,2026-05-02 21:58:05.683485,1
W0017,L2,etch,E1,R202,7.7,2.2,206.8,3.02,49.6,8.5,2026-05-02 17:34:18.153152,1
W0017,L2,deposit,D1,R301,13.2,1.4,162.0,2.82,53.5,9.5,2026-05-02 00:11:49.313309,1
W0017,L2,implant,I1,R401,12.4,3.0,215.2,3.15,52.3,6.7,2026-05-02 01:15:42.200523,1
W0018,L2,litho,C2,R101,10.0,2.9,170.0,2.83,44.0,9.5,2026-05-02 11:01:22.604830,1
W0018,L2,etch,E1,R201,10.2,2.4,208.3,3.05,53.3,6.3,2026-05-02 01:24:02.242292,1
W0018,L2,deposit,D2,R301,12.2,2.9,171.3,2.86,43.6,7.5,2026-05-02 12:00:51.785445,1
W0018,L2,implant,I1,R401,13.5,1.4,219.7,2.93,41.8,5.1,2026-05-02 21:12:18.542197,1
W0019,L1,litho,C3,R101,7.2,2.7,211.9,2.9,57.1,2.6,2026-05-02 07:45:38.057196,1
W0019,L1,etch,E1,R202,7.3,1.0,192.1,3.04,49.6,11.4,2026-05-02 21:51:00.789128,1
W0019,L1,deposit,D2,R301,7.4,2.3,196.5,2.83,48.5,11.0,2026-05-02 21:26:11.081597,1
W0019,L1,implant,I2,R401,5.4,2.9,206.8,3.0,51.4,6.3,2026-05-02 14:40:22.455157,1
W0020,L3,litho,C1,R101,9.2,1.3,173.1,2.81,59.2,7.4,2026-05-02 14:11:52.412078,1
W0020,L3,etch,E1,R201,7.7,2.5,183.4,3.04,45.5,7.0,2026-05-02 05:03:29.157635,1
W0020,L3,deposit,D1,R301,11.6,0.7,208.4,2.87,57.1,7.6,2026-05-02 17:52:41.607423,1
W0020,L3,implant,I1,R401,12.2,2.2,203.1,2.86,57.3,7.6,2026-05-02 06:18:17.282651,1
W0021,L2,litho,C1,R102,10.1,0.6,207.7,3.17,50.3,8.6,2026-05-03 20:40:05.692553,2
W0021,L2,etch,E2,R202,11.8,1.0,182.2,2.87,47.2,10.7,2026-05-03 03:44:05.855837,2
W0021,L2,deposit,D2,R301,7.5,1.3,192.0,2.87,40.5,11.4,2026-05-03 21:25:06.865177,2
W0021,L2,implant,I1,R401,12.3,1.4,192.5,3.08,40.3,5.1,2026-05-03 10:41:28.727209,2
W0022,L1,litho,C1,R101,10.1,3.0,204.0,2.84,48.3,11.6,2026-05-03 20:55:31.088002,2
W0022,L1,etch,E2,R201,11.2,2.2,217.8,2.83,55.7,5.0,2026-05-03 15:53:31.509008,2
W0022,L1,deposit,D1,R301,13.4,2.3,213.2,3.01,40.2,5.6,2026-05-03 12:02:02.771704,2
W0022,L1,implant,I1,R401,8.7,1.0,161.8,2.85,51.1,9.6,2026-05-03 13:26:54.866104,2
W0023,L3,litho,C2,R101,8.3,0.8,217.2,2.92,47.3,2.2,2026-05-03 21:05:34.035887,2
W0023,L3,etch,E2,R201,12.2,3.0,215.3,3.14,49.6,5.9,2026-05-03 02:22:51.178827,2
W0023,L3,deposit,D1,R301,10.8,2.0,176.4,2.9,47.2,2.2,2026-05-03 21:38:13.728470,2
W0023,L3,implant,I1,R401,8.2,1.5,207.2,2.81,49.6,8.7,2026-05-03 20:06:46.132053,2
W0024,L1,litho,C3,R101,6.9,0.6,191.5,2.81,53.7,11.6,2026-05-03 03:32:54.710098,2
W0024,L1,etch,E2,R202,6.6,2.3,188.9,2.99,57.5,3.6,2026-05-03 19:08:13.398770,2
W0024,L1,deposit,D1,R301,7.8,2.5,167.7,2.98,53.4,4.8,2026-05-03 18:57:57.746253,2
W0024,L1,implant,I2,R401,8.2,0.7,197.7,2.99,50.7,4.7,2026-05-03 10:46:19.148317,2
W0025,L2,litho,C3,R102,12.4,2.6,218.0,3.19,41.6,2.7,2026-05-03 02:43:32.952719,2
W0025,L2,etch,E2,R202,7.2,0.7,168.9,2.95,58.4,2.0,2026-05-03 19:06:12.800887,2
W0025,L2,deposit,D1,R301,12.5,2.3,197.0,3.15,40.6,3.0,2026-05-03 17:22:52.516169,2
W0025,L2,implant,I2,R401,10.6,1.9,174.3,2.86,59.0,4.9,2026-05-03 16:19:19.455978,2
W0026,L1,litho,C2,R101,6.7,0.7,180.3,3.19,46.5,9.0,2026-05-03 12:45:11.007596,2
W0026,L1,etch,E2,R201,6.9,2.1,180.5,3.12,56.2,2.5,2026-05-03 04:08:34.037951,2
W0026,L1,deposit,D1,R301,6.6,2.4,202.7,3.08,47.2,7.3,2026-05-03 04:14:16.155809,2
W0026,L1,implant,I1,R401,9.2,0.9,178.6,2.82,48.7,6.5,2026-05-03 19:40:03.935001,2
W0027,L2,litho,C2,R101,10.4,1.9,194.1,2.9,42.3,11.3,2026-05-03 12:35:42.968050,2
W0027,L2,etch,E1,R201,13.4,0.9,179.6,2.8,46.2,2.5,2026-05-03 07:56:20.057525,2
W0027,L2,deposit,D1,R301,10.2,0.8,203.5,2.82,54.0,9.9,2026-05-03 16:09:47.900634,2
W0027,L2,implant,I2,R401,14.3,2.7,201.3,2.94,49.3,7.3,2026-05-03 04:10:28.318440,2
W0028,L2,litho,C1,R101,9.0,2.1,212.3,2.84,56.1,6.7,2026-05-03 21:42:15.626353,2
W0028,L2,etch,E1,R201,13.0,1.1,161.7,3.09,50.4,7.3,2026-05-03 23:12:01.246214,2
W0028,L2,deposit,D2,R301,6.6,2.8,189.9,2.94,42.6,7.9,2026-05-03 12:41:43.114958,2
W0028,L2,implant,I1,R401,6.6,0.5,198.8,2.87,53.3,4.5,2026-05-03 04:01:53.852197,2
W0029,L3,litho,C2,R101,5.3,1.0,169.6,3.17,40.7,10.0,2026-05-03 18:13:51.613800,2
W0029,L3,etch,E1,R201,8.4,1.3,176.7,2.92,41.3,11.7,2026-05-03 19:11:28.079807,2
W0029,L3,deposit,D1,R301,12.4,1.9,204.1,2.88,54.8,8.9,2026-05-03 20:00:42.186520,2
W0029,L3,implant,I1,R401,13.2,1.3,205.6,2.8,55.9,9.2,2026-05-03 14:04:22.623327,2
W0030,L2,litho,C2,R101,5.8,0.8,192.4,3.03,51.9,6.6,2026-05-03 00:55:48.675876,2
W0030,L2,etch,E1,R202,11.8,2.3,206.4,3.12,48.4,7.1,2026-05-03 07:30:45.890210,2
W0030,L2,deposit,D1,R301,13.0,1.5,168.5,2.94,46.5,3.7,2026-05-03 10:41:28.440541,2
W0030,L2,implant,I1,R401,13.2,1.7,186.5,3.08,54.6,9.4,2026-05-03 08:17:32.557283,2
W0031,L1,litho,C3,R101,9.4,2.5,214.0,3.13,47.8,10.1,2026-05-04 18:05:21.621226,3
W0031,L1,etch,E1,R202,7.9,0.6,180.4,3.03,43.9,5.1,2026-05-04 13:39:18.126346,3
W0031,L1,deposit,D1,R301,14.5,2.2,206.1,3.0,51.8,9.0,2026-05-04 00:17:58.978036,3
W0031,L1,implant,I1,R401,11.7,2.6,214.4,3.17,52.5,8.3,2026-05-04 00:55:11.472129,3
W0032,L3,litho,C2,R101,8.3,2.7,196.3,3.2,45.4,6.1,2026-05-04 10:07:31.895961,3
W0032,L3,etch,E1,R201,9.6,2.7,190.7,3.07,59.7,8.6,2026-05-04 23:58:18.379156,3
W0032,L3,deposit,D2,R301,14.9,0.8,186.0,2.82,41.6,6.6,2026-05-04 08:55:59.987855,3
W0032,L3,implant,I1,R401,11.1,1.7,191.0,3.03,52.3,5.3,2026-05-04 19:17:40.653646,3
W0033,L1,litho,C1,R102,11.1,2.6,188.5,3.1,42.0,11.2,2026-05-04 23:55:58.691401,3
W0033,L1,etch,E2,R201,14.3,1.4,176.9,2.82,46.3,10.9,2026-05-04 16:34:28.533871,3
W0033,L1,deposit,D1,R301,12.6,1.6,171.1,2.95,47.8,11.9,2026-05-04 19:53:16.167598,3
W0033,L1,implant,I1,R401,7.1,1.8,167.6,2.83,55.3,7.6,2026-05-04 00:11:44.112428,3
W0034,L3,litho,C2,R102,8.6,2.3,217.7,3.03,55.6,7.0,2026-05-04 11:31:34.896509,3
W0034,L3,etch,E1,R202,5.4,2.5,185.4,3.05,45.7,7.3,2026-05-04 02:02:27.941184,3
W0034,L3,deposit,D1,R301,10.1,1.4,208.7,3.11,52.2,2.2,2026-05-04 17:49:39.531682,3
W0034,L3,implant,I2,R401,6.8,0.6,190.3,2.88,46.5,3.4,2026-05-04 00:04:34.162727,3
W0035,L2,litho,C2,R102,12.2,2.8,189.4,2.87,51.9,11.7,2026-05-04 05:56:26.573972,3
W0035,L2,etch,E1,R201,12.0,1.6,167.9,2.91,50.3,3.7,2026-05-04 22:43:14.450531,3
W0035,L2,deposit,D1,R301,5.3,2.9,214.1,3.12,59.5,4.9,2026-05-04 02:23:46.341563,3
W0035,L2,implant,I2,R401,7.2,2.0,194.9,3.07,59.1,11.2,2026-05-04 15:44:50.998695,3
W0036,L1,litho,C1,R101,12.9,2.0,194.1,2.95,59.4,6.2,2026-05-04 11:12:25.170999,3
W0036,L1,etch,E2,R202,7.1,0.7,175.4,2.84,53.7,7.6,2026-05-04 16:29:00.124482,3
W0036,L1,deposit,D1,R301,13.3,2.5,215.1,2.85,43.8,3.3,2026-05-04 07:27:20.691546,3
W0036,L1,implant,I1,R401,9.0,1.6,208.3,3.0,48.9,5.6,2026-05-04 19:42:38.821116,3
W0037,L3,litho,C2,R102,11.2,2.5,195.7,3.03,58.0,5.9,2026-05-04 06:40:52.349246,3
W0037,L3,etch,E2,R202,12.0,1.1,202.7,2.82,56.5,3.0,2026-05-04 16:37:05.064732,3
W0037,L3,deposit,D2,R301,9.1,2.7,200.9,3.07,52.6,11.3,2026-05-04 09:54:16.276930,3
W0037,L3,implant,I1,R401,14.0,2.9,165.6,3.01,54.3,7.0,2026-05-04 06:36:13.452145,3
W0038,L3,litho,C3,R102,5.3,2.3,205.7,2.93,41.1,11.0,2026-05-04 17:58:35.357094,3
W0038,L3,etch,E1,R202,11.5,1.4,166.7,2.98,56.8,9.5,2026-05-04 03:51:13.960754,3
W0038,L3,deposit,D1,R301,13.9,1.4,171.9,2.92,54.3,9.2,2026-05-04 05:56:27.112380,3
W0038,L3,implant,I1,R401,14.1,0.7,190.0,2.99,50.6,3.5,2026-05-04 00:08:18.937408,3
W0039,L3,litho,C2,R101,11.1,1.0,208.4,3.02,44.5,3.0,2026-05-04 08:31:07.134849,3
W0039,L3,etch,E1,R201,9.3,1.3,217.3,3.06,49.7,4.8,2026-05-04 09:36:10.561657,3
W0039,L3,deposit,D1,R301,9.1,1.4,216.3,2.92,49.6,3.2,2026-05-04 06:41:08.764518,3
W0039,L3,implant,I2,R401,14.3,3.0,175.6,3.12,41.5,11.1,2026-05-04 21:27:45.620767,3
W0040,L1,litho,C1,R101,7.9,1.3,184.5,3.07,57.7,3.9,2026-05-04 11:47:47.257832,3
W0040,L1,etch,E1,R202,9.2,2.3,188.4,3.18,51.2,5.3,2026-05-04 11:04:46.258697,3
W0040,L1,deposit,D1,R301,5.3,0.7,161.7,3.11,59.4,6.6,2026-05-04 05:42:02.961061,3
W0040,L1,implant,I2,R401,5.7,2.9,192.9,2.94,44.5,11.7,2026-05-04 19:11:56.805545,3
W0041,L2,litho,C1,R102,6.2,1.7,190.3,3.08,51.9,10.9,2026-05-05 21:06:56.609708,4
W0041,L2,etch,E2,R201,13.8,2.2,180.5,2.9,45.0,8.5,2026-05-05 23:52:46.424937,4
W0041,L2,deposit,D1,R301,7.3,1.9,161.3,2.81,51.0,11.4,2026-05-05 05:41:09.571400,4
W0041,L2,implant,I2,R401,7.3,1.7,184.8,3.14,45.8,9.7,2026-05-05 12:10:14.078872,4
W0042,L2,litho,C1,R101,9.8,1.4,169.8,3.13,41.2,9.8,2026-05-05 13:58:25.691129,4
W0042,L2,etch,E1,R201,13.0,1.4,206.7,3.04,50.7,6.9,2026-05-05 10:03:51.081141,4
W0042,L2,deposit,D2,R301,8.2,1.2,184.0,2.87,46.1,5.4,2026-05-05 07:44:00.853850,4
W0042,L2,implant,I1,R401,7.0,2.4,189.8,2.85,44.6,7.9,2026-05-05 03:10:05.118800,4
W0043,L2,litho,C3,R101,13.9,0.7,212.3,2.87,47.4,6.2,2026-05-05 21:41:17.982360,4
W0043,L2,etch,E2,R201,6.8,2.7,192.2,3.14,52.4,7.8,2026-05-05 06:43:59.345160,4
W0043,L2,deposit,D1,R301,11.9,1.6,163.1,2.92,48.9,4.8,2026-05-05 17:29:22.060945,4
W0043,L2,implant,I2,R401,7.5,3.0,161.5,3.17,41.9,4.0,2026-05-05 03:00:34.013321,4
W0044,L1,litho,C2,R102,7.7,1.0,188.2,2.86,57.6,8.6,2026-05-05 10:42:54.467503,4
W0044,L1,etch,E1,R202,10.5,0.7,172.5,2.99,53.2,2.2,2026-05-05 02:25:19.066121,4
W0044,L1,deposit,D1,R301,11.9,2.4,174.3,3.13,53.0,10.9,2026-05-05 02:49:54.474615,4
W0044,L1,implant,I1,R401,9.7,2.5,167.5,2.88,43.8,2.1,2026-05-05 03:15:09.591316,4
W0045,L3,litho,C3,R101,9.7,1.0,209.3,2.99,51.6,2.9,2026-05-05 13:59:39.673240,4
W0045,L3,etch,E1,R201,10.6,1.1,167.8,2.99,50.9,9.9,2026-05-05 05:45:37.175623,4
W0045,L3,deposit,D1,R301,8.5,2.9,190.1,2.89,53.9,10.2,2026-05-05 23:04:08.840887,4
W0045,L3,implant,I1,R401,13.7,2.5,173.8,2.88,55.3,4.2,2026-05-05 00:10:52.047653,4
W0046,L2,litho,C3,R102,8.7,1.4,184.4,3.15,48.2,7.0,2026-05-05 23:59:17.451090,4
W0046,L2,etch,E1,R201,11.4,2.2,206.4,3.06,42.9,10.9,2026-05-05 13:17:27.141854,4
W0046,L2,deposit,D1,R301,8.0,1.4,174.1,2.89,42.1,2.5,2026-05-05 14:19:56.368409,4
W0046,L2,implant,I1,R401,12.9,0.6,174.3,2.9,59.1,5.1,2026-05-05 10:38:33.777251,4
W0047,L3,litho,C2,R101,12.1,2.8,178.1,3.0,41.4,9.8,2026-05-05 13:51:02.031660,4
W0047,L3,etch,E1,R201,8.2,1.7,215.6,2.86,48.0,9.6,2026-05-05 07:03:21.868041,4
W0047,L3,deposit,D2,R301,8.6,2.2,167.1,2.93,55.9,5.5,2026-05-05 00:43:55.367918,4
W0047,L3,implant,I1,R401,5.1,1.1,213.0,2.89,51.7,2.4,2026-05-05 07:50:56.834453,4
W0048,L1,litho,C2,R101,8.4,1.2,166.0,2.85,59.9,7.9,2026-05-05 03:57:54.172822,4
W0048,L1,etch,E2,R201,7.2,0.8,217.5,2.88,44.9,11.1,2026-05-05 00:48:09.757154,4
W0048,L1,deposit,D1,R301,8.2,1.3,198.2,2.91,42.4,3.6,2026-05-05 06:21:15.020659,4
W0048,L1,implant,I1,R401,8.5,2.2,178.3,2.84,42.0,2.9,2026-05-05 03:39:25.800819,4
W0049,L2,litho,C2,R102,7.8,2.2,215.6,3.09,44.6,6.3,2026-05-05 16:03:09.395875,4
W0049,L2,etch,E1,R202,7.1,0.7,175.4,3.09,49.0,7.0,2026-05-05 12:26:19.563353,4
W0049,L2,deposit,D1,R301,14.9,1.7,167.1,2.86,48.0,4.2,2026-05-05 13:48:55.605888,4
W0049,L2,implant,I2,R401,7.4,2.5,187.9,3.04,51.3,9.3,2026-05-05 19:31:35.619883,4
W0050,L2,litho,C1,R102,6.9,2.7,165.4,3.01,42.7,5.2,2026-05-05 01:46:48.888993,4
W0050,L2,etch,E2,R202,6.6,0.8,217.7,2.84,50.2,4.3,2026-05-05 03:39:46.461402,4
W0050,L2,deposit,D1,R301,12.5,2.1,173.5,2.81,52.8,3.1,2026-05-05 01:06:14.633297,4
W0050,L2,implant,I1,R401,10.9,0.6,161.1,2.87,42.1,10.9,2026-05-05 04:02:27.326478,4
W0051,L2,litho,C2,R102,6.8,2.7,167.6,2.84,41.3,7.6,2026-05-06 11:49:26.090803,5
W0051,L2,etch,E2,R202,13.6,0.9,167.2,3.05,43.2,7.4,2026-05-06 05:07:15.384377,5
W0051,L2,deposit,D2,R301,13.7,0.7,195.5,3.17,59.6,7.8,2026-05-06 12:18:46.172755,5
W0051,L2,implant,I1,R401,5.8,2.0,164.3,2.89,56.9,4.7,2026-05-06 12:02:07.054138,5
W0052,L3,litho,C3,R101,7.6,0.8,178.4,2.94,49.9,7.5,2026-05-06 20:16:14.944568,5
W0052,L3,etch,E2,R201,6.2,2.5,176.6,3.02,47.6,4.0,2026-05-06 05:14:41.163684,5
W0052,L3,deposit,D1,R301,10.1,2.9,208.8,2.95,56.5,4.5,2026-05-06 06:15:49.019278,5
W0052,L3,implant,I2,R401,6.1,2.0,217.2,2.89,59.5,2.1,2026-05-06 09:54:59.421599,5
W0053,L1,litho,C2,R102,14.0,2.0,180.2,3.0,56.5,7.0,2026-05-06 23:33:34.281297,5
W0053,L1,etch,E1,R201,14.0,1.4,198.6,3.12,52.7,8.4,2026-05-06 01:17:43.073929,5
W0053,L1,deposit,D2,R301,14.1,2.3,175.3,3.09,48.6,9.7,2026-05-06 00:01:05.662988,5
W0053,L1,implant,I2,R401,8.3,2.2,170.4,2.92,59.5,6.7,2026-05-06 01:16:44.287712,5
W0054,L2,litho,C1,R102,7.1,2.9,170.7,3.0,50.1,8.2,2026-05-06 12:04:12.780699,5
W0054,L2,etch,E2,R201,7.3,2.5,179.1,2.85,58.4,2.8,2026-05-06 22:59:15.464895,5
W0054,L2,deposit,D2,R301,5.7,2.9,198.8,2.92,58.1,5.6,2026-05-06 21:17:34.479804,5
W0054,L2,implant,I2,R401,5.8,2.3,160.9,3.13,53.3,2.1,2026-05-06 01:16:26.132143,5
W0055,L2,litho,C1,R101,5.9,2.8,203.4,3.1,50.2,3.9,2026-05-06 11:54:17.243858,5
W0055,L2,etch,E2,R202,8.0,1.6,192.3,3.04,40.8,11.6,2026-05-06 04:49:45.396820,5
W0055,L2,deposit,D2,R301,13.0,2.4,195.4,2.98,42.5,6.3,2026-05-06 08:30:25.478436,5
W0055,L2,implant,I2,R401,13.8,2.4,182.3,2.89,43.0,10.3,2026-05-06 12:59:43.363018,5
W0056,L3,litho,C2,R102,6.1,1.1,162.9,3.04,45.8,4.5,2026-05-06 20:26:17.037685,5
W0056,L3,etch,E2,R201,7.1,2.5,209.9,2.95,55.0,7.9,2026-05-06 22:29:48.184066,5
W0056,L3,deposit,D1,R301,12.8,1.1,197.0,2.82,47.3,9.4,2026-05-06 10:43:21.720136,5
W0056,L3,implant,I1,R401,12.7,1.2,215.6,3.01,48.1,2.6,2026-05-06 20:33:10.149974,5
W0057,L2,litho,C3,R101,9.6,2.7,209.6,2.94,54.4,11.1,2026-05-06 21:08:22.023655,5
W0057,L2,etch,E1,R201,12.7,1.6,172.5,3.11,54.7,11.0,2026-05-06 16:07:43.517254,5
W0057,L2,deposit,D1,R301,9.2,1.2,198.7,3.05,48.7,8.4,2026-05-06 02:32:34.100193,5
W0057,L2,implant,I1,R401,11.4,1.8,204.2,3.05,56.8,6.7,2026-05-06 07:43:10.209044,5
W0058,L1,litho,C1,R102,5.6,2.5,192.7,2.94,51.0,4.4,2026-05-06 20:36:32.125360,5
W0058,L1,etch,E2,R201,8.4,2.1,211.7,2.86,57.8,9.2,2026-05-06 15:42:44.854275,5
W0058,L1,deposit,D1,R301,11.1,1.3,211.5,3.15,56.8,9.2,2026-05-06 12:42:53.431430,5
W0058,L1,implant,I2,R401,8.9,1.8,172.1,2.84,44.1,4.2,2026-05-06 03:26:03.585233,5
W0059,L3,litho,C2,R101,12.3,1.9,211.6,3.07,43.2,4.4,2026-05-06 06:41:51.465035,5
W0059,L3,etch,E1,R201,10.0,1.2,167.2,2.95,43.9,3.3,2026-05-06 22:15:43.577551,5
W0059,L3,deposit,D2,R301,5.2,2.9,194.1,3.06,40.7,6.9,2026-05-06 02:34:18.690718,5
W0059,L3,implant,I2,R401,5.1,2.1,195.1,2.88,44.8,2.2,2026-05-06 02:28:35.026137,5
W0060,L2,litho,C3,R101,6.3,2.9,180.9,3.12,49.8,4.7,2026-05-06 05:30:19.462466,5
W0060,L2,etch,E1,R202,5.6,2.5,217.1,3.03,57.9,5.4,2026-05-06 03:11:56.754722,5
