wafer_id,station,chamber,recipe,process_time_min,waiting_time_min,start_timestamp
W024,deposition,D2,R302,10.97,21.01,2026-06-01 08:52:07.332150642
W024,implant,I1,R401,7.34,25.0,2026-06-01 09:24:05.886957069
W024,final_test,T1,R501,9.06,10.14,2026-06-01 09:56:26.269775155
W025,litho,C3,R102,11.24,0.0,2026-06-01 08:00:00.000000000
W025,etch,E2,R201,6.4,47.95,2026-06-01 08:11:14.128242625
W025,deposition,D1,R302,14.23,25.38,2026-06-01 09:05:35.222450214
W025,implant,I2,R401,7.91,25.53,2026-06-01 09:45:11.382275667
W025,final_test,T1,R501,9.45,20.71,2026-06-01 10:18:37.760975217
W026,litho,C1,R101,8.97,0.0,2026-06-01 08:00:00.000000000
W026,etch,E2,R201,5.32,29.93,2026-06-01 08:08:58.206267655
W026,deposition,D1,R302,14.54,11.38,2026-06-01 08:44:13.191168392
W026,implant,I1,R401,6.94,54.62,2026-06-01 09:10:08.473416496
W026,final_test,T1,R501,14.57,47.99,2026-06-01 10:11:41.803729061
W027,litho,C2,R102,6.48,0.0,2026-06-01 08:00:00.000000000
W027,etch,E1,R201,10.96,47.75,2026-06-01 08:06:28.904717674
W027,deposition,D2,R302,12.84,44.66,2026-06-01 09:05:11.627693708
W027,implant,I2,R401,8.9,23.61,2026-06-01 10:02:41.740746338
W027,final_test,T1,R501,11.03,22.77,2026-06-01 10:35:12.426685338
W028,litho,C3,R102,7.05,0.0,2026-06-01 08:00:00.000000000
W028,etch,E1,R201,9.51,36.88,2026-06-01 08:07:02.751477017
W028,deposition,D2,R302,10.4,41.16,2026-06-01 08:53:26.157631810
W028,implant,I1,R401,10.44,18.5,2026-06-01 09:44:59.861595300
W028,final_test,T1,R501,13.27,14.41,2026-06-01 10:13:55.746381239
W029,litho,C1,R102,6.54,0.0,2026-06-01 08:00:00.000000000
W029,etch,E2,R201,10.49,37.19,2026-06-01 08:06:32.603946028
W029,deposition,D2,R302,13.94,57.29,2026-06-01 08:54:13.239603029
W029,implant,I2,R401,7.05,11.9,2026-06-01 10:05:27.017633118
W029,final_test,T1,R501,13.3,12.24,2026-06-01 10:24:24.190216534
W030,litho,C3,R102,11.73,0.0,2026-06-01 08:00:00.000000000
W030,etch,E2,R201,11.83,35.21,2026-06-01 08:11:43.555465294
W030,deposition,D1,R301,12.36,14.01,2026-06-01 08:58:46.171758049
W030,implant,I1,R401,11.54,25.65,2026-06-01 09:25:08.313377852
W030,final_test,T1,R501,13.94,36.16,2026-06-01 10:02:19.901623237
W031,litho,C2,R102,14.82,0.0,2026-06-01 08:00:00.000000000
W031,etch,E2,R201,14.46,13.0,2026-06-01 08:14:48.983657171
W031,deposition,D1,R301,11.88,34.25,2026-06-01 08:42:16.380799004
W031,implant,I1,R401,5.83,50.93,2026-06-01 09:28:24.664434321
W031,final_test,T1,R501,11.84,59.49,2026-06-01 10:25:10.086690475
W032,litho,C3,R102,6.4,0.0,2026-06-01 08:00:00.000000000
W032,etch,E1,R201,14.37,11.83,2026-06-01 08:06:23.757535712
W032,deposition,D2,R302,11.99,27.4,2026-06-01 08:32:35.369741349
W032,implant,I1,R401,12.05,31.81,2026-06-01 09:11:59.102409749
W032,final_test,T1,R501,8.47,27.93,2026-06-01 09:55:50.726282281
W033,litho,C1,R102,13.38,0.0,2026-06-01 08:00:00.000000000
W033,etch,E2,R201,5.27,47.79,2026-06-01 08:13:22.546645584
W033,deposition,D1,R301,10.56,26.04,2026-06-01 09:06:26.064758216
W033,implant,I1,R401,5.33,11.65,2026-06-01 09:43:01.601266362
W033,final_test,T1,R501,11.76,14.93,2026-06-01 10:00:00.528456276
W034,litho,C1,R101,13.74,0.0,2026-06-01 08:00:00.000000000
W034,etch,E2,R201,11.82,27.81,2026-06-01 08:13:44.607343073
W034,deposition,D2,R301,6.26,14.06,2026-06-01 08:53:22.625260904
W034,implant,I1,R401,10.84,23.45,2026-06-01 09:13:41.926521834
W034,final_test,T1,R501,7.03,42.76,2026-06-01 09:47:59.675617272
W035,litho,C3,R102,8.91,0.0,2026-06-01 08:00:00.000000000
W035,etch,E1,R201,5.14,12.84,2026-06-01 08:08:54.769673451
W035,deposition,D2,R301,10.88,13.68,2026-06-01 08:26:53.878084211
W035,implant,I1,R401,7.32,44.6,2026-06-01 08:51:27.698639891
W035,final_test,T1,R501,11.5,55.2,2026-06-01 09:43:22.566626358
W036,litho,C2,R102,12.4,0.0,2026-06-01 08:00:00.000000000
W036,etch,E1,R201,7.99,45.67,2026-06-01 08:12:24.204206199
W036,deposition,D2,R302,10.31,54.88,2026-06-01 09:06:03.969019186
W036,implant,I2,R401,13.68,36.62,2026-06-01 10:11:15.154135962
W036,final_test,T1,R501,6.74,33.63,2026-06-01 11:01:32.932730781
W037,litho,C3,R101,14.62,0.0,2026-06-01 08:00:00.000000000
W037,etch,E2,R201,8.66,33.95,2026-06-01 08:14:37.264026198
W037,deposition,D1,R302,13.88,29.34,2026-06-01 08:57:14.086716316
W037,implant,I1,R401,10.46,34.92,2026-06-01 09:40:27.316604683
W037,final_test,T1,R501,11.84,44.79,2026-06-01 10:25:49.751374940
W038,litho,C2,R102,5.04,0.0,2026-06-01 08:00:00.000000000
W038,etch,E1,R201,13.13,28.57,2026-06-01 08:05:02.439950171
W038,deposition,D2,R302,8.2,25.47,2026-06-01 08:46:44.796317394
W038,implant,I2,R401,5.62,59.61,2026-06-01 09:20:25.189654776
W038,final_test,T1,R501,13.59,40.0,2026-06-01 10:25:38.982885990
W039,litho,C3,R101,5.85,0.0,2026-06-01 08:00:00.000000000
W039,etch,E2,R201,7.4,24.15,2026-06-01 08:05:50.738819039
W039,deposition,D2,R302,9.31,18.42,2026-06-01 08:37:23.661749633
W039,implant,I2,R401,6.38,54.98,2026-06-01 09:05:07.456423022
W039,final_test,T1,R501,12.11,54.04,2026-06-01 10:06:29.071080110
W040,litho,C1,R102,13.95,0.0,2026-06-01 08:00:00.000000000
W040,etch,E1,R201,14.17,32.38,2026-06-01 08:13:56.866909146
W040,deposition,D2,R301,7.38,28.93,2026-06-01 09:00:29.715899411
W040,implant,I2,R401,5.39,44.62,2026-06-01 09:36:48.600126430
W040,final_test,T1,R501,9.29,19.81,2026-06-01 10:26:49.102276093
W041,litho,C1,R102,8.18,0.0,2026-06-01 08:00:00.000000000
W041,etch,E2,R201,5.33,35.75,2026-06-01 08:08:10.534734023
W041,deposition,D2,R301,11.84,19.46,2026-06-01 08:49:15.697737947
W041,implant,I1,R401,12.53,46.95,2026-06-01 09:20:33.132130420
W041,final_test,T1,R501,8.24,47.21,2026-06-01 10:20:02.303621035
W042,litho,C2,R101,10.8,0.0,2026-06-01 08:00:00.000000000
W042,etch,E2,R201,13.61,10.67,2026-06-01 08:10:47.982646999
W042,deposition,D1,R302,5.43,26.59,2026-06-01 08:35:04.649990424
W042,implant,I2,R401,5.31,42.52,2026-06-01 09:07:06.286579988
W042,final_test,T1,R501,12.81,49.0,2026-06-01 09:54:56.384798750
W043,litho,C2,R102,7.36,0.0,2026-06-01 08:00:00.000000000
W043,etch,E2,R201,8.39,55.38,2026-06-01 08:07:21.603181694
W043,deposition,D1,R301,5.65,46.12,2026-06-01 09:11:07.918456141
W043,implant,I2,R401,8.43,18.39,2026-06-01 10:02:54.133581199
W043,final_test,T1,R501,10.88,57.58,2026-06-01 10:29:43.080418428
W044,litho,C3,R102,8.7,0.0,2026-06-01 08:00:00.000000000
W044,etch,E1,R201,6.74,24.32,2026-06-01 08:08:42.036233285
W044,deposition,D1,R302,9.11,19.19,2026-06-01 08:39:45.609662665
W044,implant,I1,R401,14.74,40.92,2026-06-01 09:08:03.919698865
W044,final_test,T1,R501,11.0,19.31,2026-06-01 10:03:43.920909901
W045,litho,C3,R101,5.52,0.0,2026-06-01 08:00:00.000000000
W045,etch,E1,R201,9.22,10.85,2026-06-01 08:05:30.936878461
W045,deposition,D1,R302,13.38,54.69,2026-06-01 08:25:35.259076917
W045,implant,I2,R401,6.9,37.11,2026-06-01 09:33:39.714048155
W045,final_test,T1,R501,12.32,17.64,2026-06-01 10:17:39.816724897
W046,litho,C2,R101,14.12,0.0,2026-06-01 08:00:00.000000000
W046,etch,E2,R201,9.56,54.27,2026-06-01 08:14:07.013018460
W046,deposition,D2,R302,5.83,22.13,2026-06-01 09:17:56.436833068
W046,implant,I2,R401,9.12,15.81,2026-06-01 09:45:53.812785066
W046,final_test,T1,R501,12.93,59.54,2026-06-01 10:10:49.823789638
W047,litho,C1,R102,9.56,0.0,2026-06-01 08:00:00.000000000
W047,etch,E2,R201,13.44,50.16,2026-06-01 08:09:33.369345997
W047,deposition,D2,R301,6.59,29.67,2026-06-01 09:13:09.187230335
W047,implant,I1,R401,6.11,50.99,2026-06-01 09:49:25.203900061
W047,final_test,T1,R501,9.79,59.59,2026-06-01 10:46:30.891096145
W048,litho,C1,R102,8.77,0.0,2026-06-01 08:00:00.000000000
W048,etch,E2,R201,11.74,32.35,2026-06-01 08:08:46.424099683
W048,deposition,D2,R301,14.45,18.65,2026-06-01 08:52:51.517566494
W048,implant,I1,R401,12.32,52.84,2026-06-01 09:25:57.440051340
W048,final_test,T1,R501,7.84,48.45,2026-06-01 10:31:07.183233301
W049,litho,C3,R101,8.15,0.0,2026-06-01 08:00:00.000000000
W049,etch,E1,R201,7.58,41.56,2026-06-01 08:08:09.164351728
W049,deposition,D2,R302,8.84,58.85,2026-06-01 08:57:17.252084464
W049,implant,I1,R401,14.94,54.08,2026-06-01 10:04:58.709171773
W049,final_test,T1,R501,5.55,40.08,2026-06-01 11:14:00.010598480
W050,litho,C1,R102,8.63,0.0,2026-06-01 08:00:00.000000000
W050,etch,E1,R201,7.59,12.7,2026-06-01 08:08:37.917518486
W050,deposition,D1,R302,8.61,38.56,2026-06-01 08:28:55.069460550
W050,implant,I2,R401,8.95,10.13,2026-06-01 09:16:05.740805724
W050,final_test,T1,R501,6.22,43.65,2026-06-01 09:35:10.360213890
W051,litho,C2,R102,10.27,0.0,2026-06-01 08:00:00.000000000
W051,etch,E1,R201,5.43,50.95,2026-06-01 08:10:15.967235186
W051,deposition,D2,R302,11.76,12.56,2026-06-01 09:06:38.988485062
W051,implant,I2,R401,7.3,15.47,2026-06-01 09:30:58.203075567
W051,final_test,T1,R501,12.1,35.12,2026-06-01 09:53:44.342058405
W052,litho,C3,R101,5.58,0.0,2026-06-01 08:00:00.000000000
W052,etch,E2,R201,9.29,59.32,2026-06-01 08:05:34.533383737
W052,deposition,D1,R302,8.91,24.78,2026-06-01 09:14:11.443585748
W052,implant,I1,R401,10.49,40.91,2026-06-01 09:47:52.798395983
W052,final_test,T1,R501,11.59,37.59,2026-06-01 10:39:17.094850317
W053,litho,C3,R102,14.68,0.0,2026-06-01 08:00:00.000000000
W053,etch,E2,R201,7.23,15.89,2026-06-01 08:14:40.727478036
W053,deposition,D2,R302,8.64,11.72,2026-06-01 08:37:47.702009422
W053,implant,I1,R401,7.71,52.9,2026-06-01 08:58:09.066852616
W053,final_test,T1,R501,10.71,36.38,2026-06-01 09:58:45.894832710
W054,litho,C3,R102,14.2,0.0,2026-06-01 08:00:00.000000000
W054,etch,E2,R201,7.64,58.8,2026-06-01 08:14:12.153187971
W054,deposition,D2,R301,10.1,30.94,2026-06-01 09:20:38.402625325
W054,implant,I1,R401,8.57,38.58,2026-06-01 10:01:40.943503162
W054,final_test,T1,R501,9.05,41.35,2026-06-01 10:48:49.971280467
W055,litho,C1,R102,11.31,0.0,2026-06-01 08:00:00.000000000
W055,etch,E2,R201,12.88,39.61,2026-06-01 08:11:18.584618956
W055,deposition,D1,R301,10.32,28.5,2026-06-01 09:03:48.036285313
W055,implant,I2,R401,10.97,28.95,2026-06-01 09:42:36.826408786
W055,final_test,T1,R501,12.16,20.55,2026-06-01 10:22:32.280497385
W056,litho,C3,R102,10.9,0.0,2026-06-01 08:00:00.000000000
W056,etch,E2,R201,8.08,52.72,2026-06-01 08:10:53.936483846
W056,deposition,D1,R301,6.03,45.28,2026-06-01 09:11:42.307118485
W056,implant,I1,R401,10.69,44.42,2026-06-01 10:03:00.944658605
W056,final_test,T1,R501,8.49,12.56,2026-06-01 10:58:08.101737569
W057,litho,C1,R101,8.39,0.0,2026-06-01 08:00:00.000000000
W057,etch,E2,R201,11.78,29.71,2026-06-01 08:08:23.546298916
W057,deposition,D1,R302,6.01,28.56,2026-06-01 08:49:53.118076140
W057,implant,I2,R401,9.11,26.36,2026-06-01 09:24:27.248623420
W057,final_test,T1,R501,7.4,55.09,2026-06-01 09:59:55.177228323
W058,litho,C2,R102,6.91,0.0,2026-06-01 08:00:00.000000000
W058,etch,E2,R201,6.34,27.32,2026-06-01 08:06:54.853488478
W058,deposition,D2,R301,7.85,11.07,2026-06-01 08:40:34.493222302
W058,implant,I2,R401,12.06,25.73,2026-06-01 08:59:30.135134910
W058,final_test,T1,R501,5.39,50.08,2026-06-01 09:37:17.477695395
W059,litho,C1,R102,10.22,0.0,2026-06-01 08:00:00.000000000
W059,etch,E1,R201,12.21,27.91,2026-06-01 08:10:13.068833812
W059,deposition,D1,R301,13.13,10.44,2026-06-01 08:50:20.130413610
W059,implant,I2,R401,7.55,42.03,2026-06-01 09:13:54.178302629
W059,final_test,T1,R501,11.33,54.05,2026-06-01 10:03:28.611171661
W060,litho,C3,R102,9.78,0.0,2026-06-01 08:00:00.000000000
W060,etch,E2,R201,12.67,35.74,2026-06-01 08:09:46.645371759
W060,deposition,D1,R301,6.86,43.18,2026-06-01 08:58:11.565581484
W060,implant,I2,R401,13.22,28.83,2026-06-01 09:48:14.530792500
W060,final_test,T1,R501,11.69,31.07,2026-06-01 10:30:17.589872125
W061,litho,C3,R101,5.93,0.0,2026-06-01 08:00:00.000000000
W061,etch,E2,R201,5.22,19.27,2026-06-01 08:05:55.533477374
W061,deposition,D2,R302,12.61,25.46,2026-06-01 08:30:24.434827343
W061,implant,I1,R401,9.7,39.26,2026-06-01 09:08:28.172712232
W061,final_test,T1,R501,12.06,10.63,2026-06-01 09:57:25.639959929
W062,litho,C1,R102,5.52,0.0,2026-06-01 08:00:00.000000000
W062,etch,E2,R201,5.94,36.49,2026-06-01 08:05:30.941067271
W062,deposition,D1,R302,14.2,26.04,2026-06-01 08:47:56.762449798
W062,implant,I1,R401,6.54,22.98,2026-06-01 09:28:11.000192862
W062,final_test,T1,R501,9.36,52.39,2026-06-01 09:57:42.228427549
W063,litho,C1,R101,8.04,0.0,2026-06-01 08:00:00.000000000
W063,etch,E1,R201,7.17,13.66,2026-06-01 08:08:02.245140985
W063,deposition,D2,R302,11.92,14.0,2026-06-01 08:28:52.313776615
W063,implant,I2,R401,9.14,50.99,2026-06-01 08:54:47.686618076
W063,final_test,T1,R501,8.98,47.63,2026-06-01 09:54:55.102627575
W064,litho,C3,R102,14.39,0.0,2026-06-01 08:00:00.000000000
W064,etch,E1,R201,8.35,29.41,2026-06-01 08:14:23.582589493
W064,deposition,D2,R302,12.44,16.14,2026-06-01 08:52:09.721971876
W064,implant,I2,R401,9.02,48.28,2026-06-01 09:20:44.492350904
W064,final_test,T1,R501,13.28,29.14,2026-06-01 10:18:02.212132852
W065,litho,C1,R101,11.97,0.0,2026-06-01 08:00:00.000000000
W065,etch,E1,R201,12.9,52.55,2026-06-01 08:11:58.371978584
W065,deposition,D2,R302,7.5,45.68,2026-06-01 09:17:25.639471322
W065,implant,I2,R401,7.25,26.05,2026-06-01 10:10:36.543688390
W065,final_test,T1,R501,9.09,12.49,2026-06-01 10:43:54.597970726
W066,litho,C2,R101,7.76,0.0,2026-06-01 08:00:00.000000000
W066,etch,E1,R201,5.93,20.0,2026-06-01 08:07:45.503172176
W066,deposition,D1,R301,8.94,39.71,2026-06-01 08:33:41.323684255
W066,implant,I1,R401,5.71,14.74,2026-06-01 09:22:20.275784766
W066,final_test,T1,R501,14.33,13.74,2026-06-01 09:42:47.050802830
W067,litho,C1,R102,7.42,0.0,2026-06-01 08:00:00.000000000
W067,etch,E1,R201,9.85,31.47,2026-06-01 08:07:25.276468731
W067,deposition,D1,R302,14.62,53.71,2026-06-01 08:48:44.485133227
W067,implant,I2,R401,8.46,53.21,2026-06-01 09:57:04.215973965
W067,final_test,T1,R501,14.32,45.16,2026-06-01 10:58:44.470406186
W068,litho,C3,R102,5.93,0.0,2026-06-01 08:00:00.000000000
W068,etch,E1,R201,9.54,52.39,2026-06-01 08:05:55.658911373
W068,deposition,D2,R302,6.16,59.62,2026-06-01 09:07:51.306286989
W068,implant,I1,R401,14.0,56.86,2026-06-01 10:13:38.120990374
W068,final_test,T1,R501,8.42,44.98,2026-06-01 11:24:29.636714272
W069,litho,C3,R102,6.03,0.0,2026-06-01 08:00:00.000000000
W069,etch,E2,R201,9.8,35.2,2026-06-01 08:06:01.761479367
W069,deposition,D2,R301,13.12,58.12,2026-06-01 08:51:02.049007518
W069,implant,I2,R401,14.85,45.98,2026-06-01 10:02:16.214360814
W069,final_test,T1,R501,5.47,26.06,2026-06-01 11:03:06.068464010
W070,litho,C2,R101,10.55,0.0,2026-06-01 08:00:00.000000000
W070,etch,E2,R201,12.15,51.86,2026-06-01 08:10:33.247803301
W070,deposition,D1,R302,12.1,10.49,2026-06-01 09:14:33.872943784
W070,implant,I1,R401,11.51,36.21,2026-06-01 09:37:09.063942906
W070,final_test,T1,R501,8.7,36.5,2026-06-01 10:24:52.199110572
W071,litho,C2,R102,13.68,0.0,2026-06-01 08:00:00.000000000
W071,etch,E2,R201,11.54,41.79,2026-06-01 08:13:40.661949139
W071,deposition,D1,R301,10.73,42.92,2026-06-01 09:07:00.250911987
W071,implant,I2,R401,13.21,26.16,2026-06-01 10:00:38.835875715
W071,final_test,T1,R501,7.21,50.08,2026-06-01 10:40:01.349908511
W072,litho,C1,R101,5.42,0.0,2026-06-01 08:00:00.000000000
W072,etch,E1,R201,10.68,34.11,2026-06-01 08:05:25.316932165
W072,deposition,D2,R302,5.41,47.18,2026-06-01 08:50:12.720541948
W072,implant,I2,R401,10.8,46.09,2026-06-01 09:42:47.886955767
W072,final_test,T1,R501,12.7,39.11,2026-06-01 10:39:41.343159797
W073,litho,C2,R102,11.01,0.0,2026-06-01 08:00:00.000000000
W073,etch,E2,R201,6.09,25.71,2026-06-01 08:11:00.465576361
W073,deposition,D2,R302,13.19,23.3,2026-06-01 08:42:48.565491857
W073,implant,I1,R401,5.5,32.44,2026-06-01 09:19:18.342005947
W073,final_test,T1,R501,13.41,45.27,2026-06-01 09:57:14.993396912
W074,litho,C3,R102,7.54,0.0,2026-06-01 08:00:00.000000000
W074,etch,E2,R201,10.22,41.6,2026-06-01 08:07:32.517023704
W074,deposition,D2,R301,13.99,59.38,2026-06-01 08:59:21.892156261
W074,implant,I2,R401,14.03,24.39,2026-06-01 10:12:44.500622945
W074,final_test,T1,R501,11.09,54.11,2026-06-01 10:51:09.968964245
W075,litho,C3,R102,13.56,0.0,2026-06-01 08:00:00.000000000
W075,etch,E2,R201,5.34,35.94,2026-06-01 08:13:33.362619336
