wafer_id,step,param,value
W0035,implant,dose_cm2,9.97e+14
W0036,litho,cd_nm,82.8
W0036,etch,etch_depth_um,1.49
W0036,deposit,film_thickness_um,0.794
W0036,implant,dose_cm2,1.01e+15
W0037,litho,cd_nm,89.0
W0037,etch,etch_depth_um,1.38
W0037,deposit,film_thickness_um,0.867
W0037,implant,dose_cm2,1.00e+15
W0038,litho,cd_nm,87.1
W0038,etch,etch_depth_um,1.37
W0038,deposit,film_thickness_um,0.798
W0038,implant,dose_cm2,1.00e+15
W0039,litho,cd_nm,92.4
W0039,etch,etch_depth_um,1.5
W0039,deposit,film_thickness_um,0.835
W0039,implant,dose_cm2,1.01e+15
W0040,litho,cd_nm,90.3
W0040,etch,etch_depth_um,1.44
W0040,deposit,film_thickness_um,0.757
W0040,implant,dose_cm2,9.94e+14
W0041,litho,cd_nm,81.3
W0041,etch,etch_depth_um,1.54
W0041,deposit,film_thickness_um,0.803
W0041,implant,dose_cm2,9.84e+14
W0042,litho,cd_nm,81.4
W0042,etch,etch_depth_um,1.69
W0042,deposit,film_thickness_um,0.835
W0042,implant,dose_cm2,9.94e+14
W0043,litho,cd_nm,86.8
W0043,etch,etch_depth_um,1.5
W0043,deposit,film_thickness_um,0.749
W0043,implant,dose_cm2,9.98e+14
W0044,litho,cd_nm,88.3
W0044,etch,etch_depth_um,1.44
W0044,deposit,film_thickness_um,0.793
W0044,implant,dose_cm2,9.98e+14
W0045,litho,cd_nm,81.9
W0045,etch,etch_depth_um,1.54
W0045,deposit,film_thickness_um,0.752
W0045,implant,dose_cm2,1.00e+15
W0046,litho,cd_nm,90.8
W0046,etch,etch_depth_um,1.54
W0046,deposit,film_thickness_um,0.824
W0046,implant,dose_cm2,1.01e+15
W0047,litho,cd_nm,81.1
W0047,etch,etch_depth_um,1.6
W0047,deposit,film_thickness_um,0.813
W0047,implant,dose_cm2,9.70e+14
W0048,litho,cd_nm,83.0
W0048,etch,etch_depth_um,1.54
W0048,deposit,film_thickness_um,0.817
W0048,implant,dose_cm2,1.01e+15
W0049,litho,cd_nm,80.2
W0049,etch,etch_depth_um,1.45
W0049,deposit,film_thickness_um,0.772
W0049,implant,dose_cm2,9.72e+14
W0050,litho,cd_nm,93.3
W0050,etch,etch_depth_um,1.5
W0050,deposit,film_thickness_um,0.914
W0050,implant,dose_cm2,1.01e+15
W0051,litho,cd_nm,80.9
W0051,etch,etch_depth_um,1.55
W0051,deposit,film_thickness_um,0.855
W0051,implant,dose_cm2,9.99e+14
W0052,litho,cd_nm,87.9
W0052,etch,etch_depth_um,1.33
W0052,deposit,film_thickness_um,0.781
W0052,implant,dose_cm2,1.01e+15
W0053,litho,cd_nm,80.3
W0053,etch,etch_depth_um,1.56
W0053,deposit,film_thickness_um,0.773
W0053,implant,dose_cm2,9.95e+14
W0054,litho,cd_nm,81.1
W0054,etch,etch_depth_um,1.53
W0054,deposit,film_thickness_um,0.765
W0054,implant,dose_cm2,9.87e+14
W0055,litho,cd_nm,92.3
W0055,etch,etch_depth_um,1.37
W0055,deposit,film_thickness_um,0.754
W0055,implant,dose_cm2,1.00e+15
W0056,litho,cd_nm,82.0
W0056,etch,etch_depth_um,1.41
W0056,deposit,film_thickness_um,0.695
W0056,implant,dose_cm2,1.01e+15
W0057,litho,cd_nm,89.7
W0057,etch,etch_depth_um,1.35
W0057,deposit,film_thickness_um,0.778
W0057,implant,dose_cm2,1.01e+15
W0058,litho,cd_nm,91.2
W0058,etch,etch_depth_um,1.56
W0058,deposit,film_thickness_um,0.726
W0058,implant,dose_cm2,1.01e+15
W0059,litho,cd_nm,90.0
W0059,etch,etch_depth_um,1.53
W0059,deposit,film_thickness_um,0.834
W0059,implant,dose_cm2,9.88e+14
W0060,litho,cd_nm,88.6
W0060,etch,etch_depth_um,1.53
W0060,deposit,film_thickness_um,0.835
W0060,implant,dose_cm2,9.88e+14
W0061,litho,cd_nm,88.1
W0061,etch,etch_depth_um,1.42
W0061,deposit,film_thickness_um,0.799
W0061,implant,dose_cm2,9.98e+14
W0062,litho,cd_nm,91.9
W0062,etch,etch_depth_um,1.69
W0062,deposit,film_thickness_um,0.86
W0062,implant,dose_cm2,9.85e+14
W0063,litho,cd_nm,90.1
W0063,etch,etch_depth_um,1.51
W0063,deposit,film_thickness_um,0.829
W0063,implant,dose_cm2,1.01e+15
W0064,litho,cd_nm,87.8
W0064,etch,etch_depth_um,1.54
W0064,deposit,film_thickness_um,0.814
W0064,implant,dose_cm2,9.95e+14
W0065,litho,cd_nm,80.5
W0065,etch,etch_depth_um,1.59
W0065,deposit,film_thickness_um,0.784
W0065,implant,dose_cm2,9.99e+14
W0066,litho,cd_nm,88.1
W0066,etch,etch_depth_um,1.39
W0066,deposit,film_thickness_um,0.782
W0066,implant,dose_cm2,1.01e+15
W0067,litho,cd_nm,87.9
W0067,etch,etch_depth_um,1.35
W0067,deposit,film_thickness_um,0.845
W0067,implant,dose_cm2,1.00e+15
W0068,litho,cd_nm,79.2
W0068,etch,etch_depth_um,1.4
W0068,deposit,film_thickness_um,0.776
W0068,implant,dose_cm2,9.95e+14
W0069,litho,cd_nm,89.2
W0069,etch,etch_depth_um,1.53
W0069,deposit,film_thickness_um,0.701
W0069,implant,dose_cm2,1.01e+15
W0070,litho,cd_nm,82.8
W0070,etch,etch_depth_um,1.56
W0070,deposit,film_thickness_um,0.777
W0070,implant,dose_cm2,9.86e+14
W0071,litho,cd_nm,89.2
W0071,etch,etch_depth_um,1.58
W0071,deposit,film_thickness_um,0.837
W0071,implant,dose_cm2,1.00e+15
W0072,litho,cd_nm,89.5
W0072,etch,etch_depth_um,1.61
W0072,deposit,film_thickness_um,0.722
W0072,implant,dose_cm2,9.96e+14
W0073,litho,cd_nm,88.9
W0073,etch,etch_depth_um,1.49
W0073,deposit,film_thickness_um,0.829
W0073,implant,dose_cm2,9.90e+14
W0074,litho,cd_nm,88.9
W0074,etch,etch_depth_um,1.51
W0074,deposit,film_thickness_um,0.88
W0074,implant,dose_cm2,1.01e+15
W0075,litho,cd_nm,92.2
W0075,etch,etch_depth_um,1.48
W0075,deposit,film_thickness_um,0.808
W0075,implant,dose_cm2,9.87e+14
W0076,litho,cd_nm,90.1
W0076,etch,etch_depth_um,1.58
W0076,deposit,film_thickness_um,0.81
W0076,implant,dose_cm2,1.01e+15
W0077,litho,cd_nm,89.6
W0077,etch,etch_depth_um,1.53
W0077,deposit,film_thickness_um,0.866
W0077,implant,dose_cm2,1.03e+15
W0078,litho,cd_nm,80.4
W0078,etch,etch_depth_um,1.58
W0078,deposit,film_thickness_um,0.808
W0078,implant,dose_cm2,9.96e+14
W0079,litho,cd_nm,93.0
W0079,etch,etch_depth_um,1.38
W0079,deposit,film_thickness_um,0.814
W0079,implant,dose_cm2,1.01e+15
W0080,litho,cd_nm,83.2
W0080,etch,etch_depth_um,1.57
W0080,deposit,film_thickness_um,0.777
W0080,implant,dose_cm2,9.89e+14
W0081,litho,cd_nm,91.0
W0081,etch,etch_depth_um,1.37
W0081,deposit,film_thickness_um,0.754
W0081,implant,dose_cm2,9.94e+14
W0082,litho,cd_nm,80.6
W0082,etch,etch_depth_um,1.65
W0082,deposit,film_thickness_um,0.71
W0082,implant,dose_cm2,9.93e+14
W0083,litho,cd_nm,91.2
W0083,etch,etch_depth_um,1.57
W0083,deposit,film_thickness_um,0.848
W0083,implant,dose_cm2,9.97e+14
W0084,litho,cd_nm,79.5
W0084,etch,etch_depth_um,1.55
W0084,deposit,film_thickness_um,0.731
W0084,implant,dose_cm2,9.99e+14
W0085,litho,cd_nm,89.1
W0085,etch,etch_depth_um,1.61
W0085,deposit,film_thickness_um,0.822
W0085,implant,dose_cm2,9.92e+14
W0086,litho,cd_nm,84.2
W0086,etch,etch_depth_um,1.46
W0086,deposit,film_thickness_um,0.78
W0086,implant,dose_cm2,1.02e+15
W0087,litho,cd_nm,83.9
W0087,etch,etch_depth_um,1.48
W0087,deposit,film_thickness_um,0.782
W0087,implant,dose_cm2,1.00e+15
W0088,litho,cd_nm,85.2
W0088,etch,etch_depth_um,1.51
W0088,deposit,film_thickness_um,0.764
W0088,implant,dose_cm2,1.00e+15
W0089,litho,cd_nm,88.9
W0089,etch,etch_depth_um,1.35
W0089,deposit,film_thickness_um,0.815
W0089,implant,dose_cm2,9.90e+14
W0090,litho,cd_nm,81.6
W0090,etch,etch_depth_um,1.48
W0090,deposit,film_thickness_um,0.906
W0090,implant,dose_cm2,9.98e+14
W0091,litho,cd_nm,82.3
W0091,etch,etch_depth_um,1.45
W0091,deposit,film_thickness_um,0.802
W0091,implant,dose_cm2,1.01e+15
W0092,litho,cd_nm,87.0
W0092,etch,etch_depth_um,1.67
W0092,deposit,film_thickness_um,0.776
W0092,implant,dose_cm2,9.90e+14
W0093,litho,cd_nm,90.1
W0093,etch,etch_depth_um,1.49
W0093,deposit,film_thickness_um,0.769
W0093,implant,dose_cm2,1.01e+15
W0094,litho,cd_nm,89.8
W0094,etch,etch_depth_um,1.27
W0094,deposit,film_thickness_um,0.806
W0094,implant,dose_cm2,1.01e+15
W0095,litho,cd_nm,90.7
W0095,etch,etch_depth_um,1.65
W0095,deposit,film_thickness_um,0.828
W0095,implant,dose_cm2,1.01e+15
W0096,litho,cd_nm,89.0
W0096,etch,etch_depth_um,1.5
W0096,deposit,film_thickness_um,0.877
W0096,implant,dose_cm2,1.01e+15
W0097,litho,cd_nm,91.9
W0097,etch,etch_depth_um,1.59
W0097,deposit,film_thickness_um,0.872
W0097,implant,dose_cm2,1.02e+15
W0098,litho,cd_nm,89.2
W0098,etch,etch_depth_um,1.58
W0098,deposit,film_thickness_um,0.753
W0098,implant,dose_cm2,9.83e+14
W0099,litho,cd_nm,84.4
W0099,etch,etch_depth_um,1.34
W0099,deposit,film_thickness_um,0.913
W0099,implant,dose_cm2,1.01e+15
W0100,litho,cd_nm,82.6
W0100,etch,etch_depth_um,1.42
W0100,deposit,film_thickness_um,0.752
W0100,implant,dose_cm2,1.01e+15
W0101,litho,cd_nm,79.0
W0101,etch,etch_depth_um,1.36
W0101,deposit,film_thickness_um,0.754
W0101,implant,dose_cm2,1.00e+15
W0102,litho,cd_nm,89.6
W0102,etch,etch_depth_um,1.51
W0102,deposit,film_thickness_um,0.829
W0102,implant,dose_cm2,9.80e+14
W0103,litho,cd_nm,89.1
W0103,etch,etch_depth_um,1.57
W0103,deposit,film_thickness_um,0.744
W0103,implant,dose_cm2,1.00e+15
W0104,litho,cd_nm,88.3
W0104,etch,etch_depth_um,1.52
W0104,deposit,film_thickness_um,0.748
W0104,implant,dose_cm2,9.90e+14
W0105,litho,cd_nm,87.7
W0105,etch,etch_depth_um,1.57
W0105,deposit,film_thickness_um,0.804
W0105,implant,dose_cm2,9.84e+14
W0106,litho,cd_nm,93.4
W0106,etch,etch_depth_um,1.53
W0106,deposit,film_thickness_um,0.794
W0106,implant,dose_cm2,1.01e+15
W0107,litho,cd_nm,82.8
W0107,etch,etch_depth_um,1.29
W0107,deposit,film_thickness_um,0.86
W0107,implant,dose_cm2,1.03e+15
W0108,litho,cd_nm,85.8
W0108,etch,etch_depth_um,1.49
W0108,deposit,film_thickness_um,0.783
W0108,implant,dose_cm2,9.89e+14
W0109,litho,cd_nm,89.1
W0109,etch,etch_depth_um,1.44
W0109,deposit,film_thickness_um,0.81
W0109,implant,dose_cm2,1.00e+15
W0110,litho,cd_nm,88.7
W0110,etch,etch_depth_um,1.5
W0110,deposit,film_thickness_um,0.818
W0110,implant,dose_cm2,1.01e+15
W0111,litho,cd_nm,88.8
W0111,etch,etch_depth_um,1.48
W0111,deposit,film_thickness_um,0.765
W0111,implant,dose_cm2,1.01e+15
W0112,litho,cd_nm,81.8
W0112,etch,etch_depth_um,1.43
W0112,deposit,film_thickness_um,0.777
W0112,implant,dose_cm2,1.01e+15
W0113,litho,cd_nm,91.7
W0113,etch,etch_depth_um,1.56
W0113,deposit,film_thickness_um,0.8
W0113,implant,dose_cm2,9.92e+14
W0114,litho,cd_nm,81.4
W0114,etch,etch_depth_um,1.63
W0114,deposit,film_thickness_um,0.765
W0114,implant,dose_cm2,1.02e+15
W0115,litho,cd_nm,91.5
W0115,etch,etch_depth_um,1.43
W0115,deposit,film_thickness_um,0.887
W0115,implant,dose_cm2,1.02e+15
W0116,litho,cd_nm,90.8
W0116,etch,etch_depth_um,1.49
W0116,deposit,film_thickness_um,0.804
W0116,implant,dose_cm2,9.92e+14
W0117,litho,cd_nm,83.7
W0117,etch,etch_depth_um,1.19
W0117,deposit,film_thickness_um,0.888
W0117,implant,dose_cm2,1.01e+15
W0118,litho,cd_nm,89.6
W0118,etch,etch_depth_um,1.43
W0118,deposit,film_thickness_um,0.819
W0118,implant,dose_cm2,9.94e+14
W0119,litho,cd_nm,91.9
W0119,etch,etch_depth_um,1.51
W0119,deposit,film_thickness_um,0.782
W0119,implant,dose_cm2,9.94e+14
W0120,litho,cd_nm,89.6
W0120,etch,etch_depth_um,1.45
W0120,deposit,film_thickness_um,0.814
W0120,implant,dose_cm2,9.95e+14
W0121,litho,cd_nm,84.1
W0121,etch,etch_depth_um,1.57
W0121,deposit,film_thickness_um,0.858
W0121,implant,dose_cm2,9.89e+14
W0122,litho,cd_nm,83.4
W0122,etch,etch_depth_um,1.47
W0122,deposit,film_thickness_um,0.827
W0122,implant,dose_cm2,1.00e+15
W0123,litho,cd_nm,91.6
W0123,etch,etch_depth_um,1.56
W0123,deposit,film_thickness_um,0.809
W0123,implant,dose_cm2,1.01e+15
W0124,litho,cd_nm,90.4
W0124,etch,etch_depth_um,1.47
W0124,deposit,film_thickness_um,0.765
W0124,implant,dose_cm2,1.00e+15
W0125,litho,cd_nm,89.3
W0125,etch,etch_depth_um,1.54
W0125,deposit,film_thickness_um,0.91
W0125,implant,dose_cm2,9.86e+14
W0126,litho,cd_nm,86.9
W0126,etch,etch_depth_um,1.43
W0126,deposit,film_thickness_um,0.739
W0126,implant,dose_cm2,9.88e+14
W0127,litho,cd_nm,91.3
W0127,etch,etch_depth_um,1.57
W0127,deposit,film_thickness_um,0.858
W0127,implant,dose_cm2,1.01e+15
W0128,litho,cd_nm,91.7
W0128,etch,etch_depth_um,1.55
W0128,deposit,film_thickness_um,0.837
W0128,implant,dose_cm2,1.02e+15
W0129,litho,cd_nm,83.0
W0129,etch,etch_depth_um,1.6
W0129,deposit,film_thickness_um,0.776
W0129,implant,dose_cm2,9.93e+14
W0130,litho,cd_nm,89.8
W0130,etch,etch_depth_um,1.51
W0130,deposit,film_thickness_um,0.769
W0130,implant,dose_cm2,9.93e+14
W0131,litho,cd_nm,90.5
W0131,etch,etch_depth_um,1.4
W0131,deposit,film_thickness_um,0.896
W0131,implant,dose_cm2,9.94e+14
W0132,litho,cd_nm,91.0
W0132,etch,etch_depth_um,1.43
W0132,deposit,film_thickness_um,0.774
W0132,implant,dose_cm2,9.93e+14
W0133,litho,cd_nm,82.0
W0133,etch,etch_depth_um,1.41
W0133,deposit,film_thickness_um,0.756
W0133,implant,dose_cm2,1.00e+15
W0134,litho,cd_nm,90.8
W0134,etch,etch_depth_um,1.4
W0134,deposit,film_thickness_um,0.85
W0134,implant,dose_cm2,1.01e+15
W0135,litho,cd_nm,81.3
W0135,etch,etch_depth_um,1.7
W0135,deposit,film_thickness_um,0.908
W0135,implant,dose_cm2,9.97e+14
W0136,litho,cd_nm,82.1
W0136,etch,etch_depth_um,1.5
W0136,deposit,film_thickness_um,0.807
W0136,implant,dose_cm2,9.92e+14
W0137,litho,cd_nm,93.3
W0137,etch,etch_depth_um,1.48
W0137,deposit,film_thickness_um,0.769
W0137,implant,dose_cm2,1.01e+15
W0138,litho,cd_nm,90.1
W0138,etch,etch_depth_um,1.54
W0138,deposit,film_thickness_um,0.785
W0138,implant,dose_cm2,1.02e+15
W0139,litho,cd_nm,89.2
W0139,etch,etch_depth_um,1.55
W0139,deposit,film_thickness_um,0.803
W0139,implant,dose_cm2,9.81e+14
W0140,litho,cd_nm,89.2
W0140,etch,etch_depth_um,1.49
W0140,deposit,film_thickness_um,0.788
W0140,implant,dose_cm2,1.00e+15
W0141,litho,cd_nm,83.5
W0141,etch,etch_depth_um,1.5
W0141,deposit,film_thickness_um,0.822
W0141,implant,dose_cm2,1.00e+15
W0142,litho,cd_nm,80.9
W0142,etch,etch_depth_um,1.46
W0142,deposit,film_thickness_um,0.762
W0142,implant,dose_cm2,9.83e+14
W0143,litho,cd_nm,80.6
W0143,etch,etch_depth_um,1.4
W0143,deposit,film_thickness_um,0.851
W0143,implant,dose_cm2,1.01e+15
W0144,litho,cd_nm,87.6
W0144,etch,etch_depth_um,1.33
W0144,deposit,film_thickness_um,0.796
W0144,implant,dose_cm2,1.00e+15
W0145,litho,cd_nm,89.1
W0145,etch,etch_depth_um,1.61
W0145,deposit,film_thickness_um,0.805
W0145,implant,dose_cm2,9.97e+14
W0146,litho,cd_nm,92.3
W0146,etch,etch_depth_um,1.56
W0146,deposit,film_thickness_um,0.761
W0146,implant,dose_cm2,1.01e+15
W0147,litho,cd_nm,92.0
W0147,etch,etch_depth_um,1.37
W0147,deposit,film_thickness_um,0.86
W0147,implant,dose_cm2,1.01e+15
W0148,litho,cd_nm,87.4
W0148,etch,etch_depth_um,1.41
W0148,deposit,film_thickness_um,0.869
W0148,implant,dose_cm2,9.77e+14
W0149,litho,cd_nm,83.6
W0149,etch,etch_depth_um,1.47
W0149,deposit,film_thickness_um,0.807
W0149,implant,dose_cm2,9.82e+14
W0150,litho,cd_nm,87.9
W0150,etch,etch_depth_um,1.34
W0150,deposit,film_thickness_um,0.782
W0150,implant,dose_cm2,9.86e+14
W0151,litho,cd_nm,84.0
W0151,etch,etch_depth_um,1.46
W0151,deposit,film_thickness_um,0.831
W0151,implant,dose_cm2,1.00e+15
W0152,litho,cd_nm,91.6
W0152,etch,etch_depth_um,1.33
W0152,deposit,film_thickness_um,0.809
W0152,implant,dose_cm2,1.00e+15
W0153,litho,cd_nm,87.1
W0153,etch,etch_depth_um,1.72
W0153,deposit,film_thickness_um,0.732
W0153,implant,dose_cm2,1.01e+15
W0154,litho,cd_nm,81.3
W0154,etch,etch_depth_um,1.42
W0154,deposit,film_thickness_um,0.76
W0154,implant,dose_cm2,9.87e+14
W0155,litho,cd_nm,90.7
W0155,etch,etch_depth_um,1.34
W0155,deposit,film_thickness_um,0.732
W0155,implant,dose_cm2,9.93e+14
W0156,litho,cd_nm,89.0
W0156,etch,etch_depth_um,1.49
W0156,deposit,film_thickness_um,0.811
W0156,implant,dose_cm2,1.01e+15
W0157,litho,cd_nm,82.5
W0157,etch,etch_depth_um,1.4
W0157,deposit,film_thickness_um,0.797
W0157,implant,dose_cm2,9.99e+14
W0158,litho,cd_nm,76.8
W0158,etch,etch_depth_um,1.45
W0158,deposit,film_thickness_um,0.785
W0158,implant,dose_cm2,9.83e+14
W0159,litho,cd_nm,87.8
W0159,etch,etch_depth_um,1.49
W0159,deposit,film_thickness_um,0.733
W0159,implant,dose_cm2,9.97e+14
W0160,litho,cd_nm,89.3
W0160,etch,etch_depth_um,1.5
W0160,deposit,film_thickness_um,0.797
W0160,implant,dose_cm2,9.97e+14
W0161,litho,cd_nm,93.8
W0161,etch,etch_depth_um,1.4
W0161,deposit,film_thickness_um,0.743
W0161,implant,dose_cm2,9.95e+14
W0162,litho,cd_nm,89.8
W0162,etch,etch_depth_um,1.5
W0162,deposit,film_thickness_um,0.852
W0162,implant,dose_cm2,1.00e+15
W0163,litho,cd_nm,82.4
W0163,etch,etch_depth_um,1.34
W0163,deposit,film_thickness_um,0.796
W0163,implant,dose_cm2,1.01e+15
W0164,litho,cd_nm,93.5
W0164,etch,etch_depth_um,1.56
W0164,deposit,film_thickness_um,0.799
W0164,implant,dose_cm2,1.00e+15
W0165,litho,cd_nm,86.8
W0165,etch,etch_depth_um,1.54
W0165,deposit,film_thickness_um,0.835
W0165,implant,dose_cm2,1.01e+15
W0166,litho,cd_nm,81.1
W0166,etch,etch_depth_um,1.56
W0166,deposit,film_thickness_um,0.808
W0166,implant,dose_cm2,1.01e+15
W0167,litho,cd_nm,87.7
W0167,etch,etch_depth_um,1.56
W0167,deposit,film_thickness_um,0.777
W0167,implant,dose_cm2,9.85e+14
W0168,litho,cd_nm,96.1
W0168,etch,etch_depth_um,1.58
W0168,deposit,film_thickness_um,0.734
W0168,implant,dose_cm2,1.01e+15
W0169,litho,cd_nm,90.9
W0169,etch,etch_depth_um,1.38
W0169,deposit,film_thickness_um,0.786
W0169,implant,dose_cm2,9.98e+14
W0170,litho,cd_nm,92.4
W0170,etch,etch_depth_um,1.52
W0170,deposit,film_thickness_um,0.751
W0170,implant,dose_cm2,9.95e+14
W0171,litho,cd_nm,91.4
W0171,etch,etch_depth_um,1.7
W0171,deposit,film_thickness_um,0.905
W0171,implant,dose_cm2,1.01e+15
W0172,litho,cd_nm,82.1
W0172,etch,etch_depth_um,1.42
W0172,deposit,film_thickness_um,0.672
W0172,implant,dose_cm2,9.90e+14
W0173,litho,cd_nm,91.5
W0173,etch,etch_depth_um,1.62
W0173,deposit,film_thickness_um,0.741
W0173,implant,dose_cm2,1.00e+15
W0174,litho,cd_nm,92.1
W0174,etch,etch_depth_um,1.51
W0174,deposit,film_thickness_um,0.881
W0174,implant,dose_cm2,1.01e+15
W0175,litho,cd_nm,89.8
W0175,etch,etch_depth_um,1.48
W0175,deposit,film_thickness_um,0.703
W0175,implant,dose_cm2,1.00e+15
W0176,litho,cd_nm,89.1
W0176,etch,etch_depth_um,1.48
W0176,deposit,film_thickness_um,0.844
W0176,implant,dose_cm2,1.01e+15
W0177,litho,cd_nm,90.1
W0177,etch,etch_depth_um,1.63
W0177,deposit,film_thickness_um,0.82
W0177,implant,dose_cm2,9.99e+14
W0178,litho,cd_nm,85.3
W0178,etch,etch_depth_um,1.53
W0178,deposit,film_thickness_um,0.725
W0178,implant,dose_cm2,1.02e+15
W0179,litho,cd_nm,93.7
W0179,etch,etch_depth_um,1.54
W0179,deposit,film_thickness_um,0.769
W0179,implant,dose_cm2,9.95e+14
W0180,litho,cd_nm,87.3
W0180,etch,etch_depth_um,1.51
W0180,deposit,film_thickness_um,0.806
W0180,implant,dose_cm2,1.02e+15
W0181,litho,cd_nm,90.3
W0181,etch,etch_depth_um,1.44
W0181,deposit,film_thickness_um,0.797
W0181,implant,dose_cm2,9.97e+14
W0182,litho,cd_nm,85.8
W0182,etch,etch_depth_um,1.34
