order_id,customer_id,order_date,channel,revenue
59,1022,2025-01-15,store,236.57
60,1118,15/01/2025,app,186.44
61,1353,2025-01-16,store,207.37
62,1093,2025-01-16,app,
63,1330,"Jan 16, 2025",web,227.13
64,1027,"Jan 16, 2025",store,
65,1201,17/01/2025,web,
66,1038,17/01/2025,store,205.59
67,1113,17/01/2025,store,222.58
68,1386,2025-01-17,store,
69,1255,2025-01-18,store,258.0
70,1289,18/01/2025,app,
71,1077,"Jan 18, 2025",app,217.75
72,1165,2025-01-18,app,199.87
73,1347,2025-01-19,app,
74,1173,19/01/2025,web,202.44
75,1252,"Jan 19, 2025",app,
76,1295,"Jan 19, 2025",app,
77,1388,"Jan 20, 2025",app,171.58
78,1202,"Jan 20, 2025",web,214.21
79,1113,"Jan 20, 2025",app,
80,1239,2025-01-20,app,224.97
81,1222,2025-01-21,store,
82,1071,21/01/2025,app,
83,1015,2025-01-21,web,218.29
84,1269,21/01/2025,store,219.35
85,1111,"Jan 22, 2025",app,
86,1225,"Jan 22, 2025",app,167.94
87,1152,"Jan 22, 2025",app,
88,1312,2025-01-22,web,
89,1199,23/01/2025,web,190.59
90,1131,"Jan 23, 2025",app,197.85
91,1104,23/01/2025,app,229.03
92,1397,"Jan 23, 2025",app,161.13
93,1208,"Jan 24, 2025",app,
94,1176,2025-01-24,web,227.52
95,1154,2025-01-24,web,217.28
96,1254,24/01/2025,store,
97,1306,2025-01-25,app,207.81
98,1137,2025-01-25,web,
99,1139,"Jan 25, 2025",store,232.61
100,1351,25/01/2025,store,
101,1372,2025-01-26,store,
102,1122,26/01/2025,app,162.49
103,1009,26/01/2025,store,
104,1081,26/01/2025,web,190.32
105,1067,2025-01-27,store,234.44
106,1279,"Jan 27, 2025",app,
107,1146,"Jan 27, 2025",store,209.72
108,1337,2025-01-27,store,
109,1097,28/01/2025,app,186.97
110,1185,"Jan 28, 2025",store,243.1
111,1256,28/01/2025,app,166.84
112,1363,2025-01-28,web,
113,1081,"Jan 29, 2025",store,
114,1093,2025-01-29,web,183.12
115,1228,29/01/2025,store,
116,1064,29/01/2025,app,259.07
117,1054,"Jan 30, 2025",store,197.53
118,1255,"Jan 30, 2025",web,
119,1123,"Jan 30, 2025",app,172.09
120,1101,"Jan 30, 2025",store,
121,1336,"Jan 31, 2025",store,
122,1207,31/01/2025,web,
123,1395,2025-01-31,web,
124,1131,31/01/2025,app,189.5
125,1387,2025-02-01,store,261.49
126,1053,"Feb 01, 2025",web,
127,1073,"Feb 01, 2025",web,189.61
128,1308,"Feb 01, 2025",store,155.63
129,1161,02/02/2025,web,184.73
130,1381,"Feb 02, 2025",store,203.79
131,1289,2025-02-02,app,
132,1279,2025-02-02,store,217.6
133,1120,2025-02-03,web,237.64
134,1207,2025-02-03,web,198.5
135,1241,2025-02-03,store,
136,1208,03/02/2025,store,
137,1041,"Feb 04, 2025",web,
138,1238,"Feb 04, 2025",app,
139,1164,2025-02-04,store,207.61
140,1158,04/02/2025,store,207.0
141,1244,2025-02-05,web,
142,1160,05/02/2025,store,
143,1351,2025-02-05,store,213.99
144,1206,05/02/2025,app,
145,1203,06/02/2025,store,188.49
146,1373,06/02/2025,web,
147,1140,"Feb 06, 2025",app,
148,1395,06/02/2025,app,197.53
149,1113,2025-02-07,store,219.53
150,1340,2025-02-07,app,209.91
151,1311,"Feb 07, 2025",app,
152,1387,07/02/2025,web,183.87
153,1098,2025-02-08,app,209.62
154,1105,08/02/2025,store,
155,1282,08/02/2025,web,
156,1283,08/02/2025,app,166.19
157,1010,2025-02-09,app,155.98
158,1252,2025-02-09,web,232.33
159,1048,2025-02-09,store,218.32
160,1239,2025-02-09,web,
161,1060,10/02/2025,web,228.36
162,1237,"Feb 10, 2025",web,
163,1232,2025-02-10,store,226.68
164,1139,"Feb 10, 2025",web,
165,1265,11/02/2025,web,
166,1278,"Feb 11, 2025",app,
167,1192,"Feb 11, 2025",store,
168,1109,11/02/2025,web,
169,1211,12/02/2025,app,240.35
170,1381,"Feb 12, 2025",app,
171,1047,"Feb 12, 2025",web,179.64
172,1273,12/02/2025,web,
173,1219,13/02/2025,app,196.58
174,1329,13/02/2025,store,202.19
175,1006,13/02/2025,app,190.57
176,1281,2025-02-13,store,213.54
177,1112,"Feb 14, 2025",store,226.33
178,1351,14/02/2025,app,
179,1289,14/02/2025,store,
180,1265,2025-02-14,store,
181,1351,15/02/2025,app,249.14
182,1238,2025-02-15,app,
183,1388,2025-02-15,store,234.72
184,1310,15/02/2025,store,170.33
185,1240,"Feb 16, 2025",app,
186,1343,16/02/2025,store,187.17
187,1396,"Feb 16, 2025",store,147.59
188,1010,2025-02-16,app,
189,1096,2025-02-17,web,
190,1393,2025-02-17,store,283.02
191,1121,"Feb 17, 2025",app,
192,1338,2025-02-17,store,
193,1133,"Feb 18, 2025",store,
194,1161,18/02/2025,web,
195,1138,"Feb 18, 2025",web,193.88
196,1226,2025-02-18,web,
197,1288,"Feb 19, 2025",web,228.57
198,1087,2025-02-19,app,226.72
199,1255,19/02/2025,store,222.25
200,1397,19/02/2025,web,221.27
201,1007,2025-02-20,app,187.63
202,1294,"Feb 20, 2025",app,272.94
203,1265,"Feb 20, 2025",store,
204,1320,20/02/2025,store,251.81
205,1125,"Feb 21, 2025",store,
206,1225,2025-02-21,store,
207,1057,2025-02-21,store,
208,1098,"Feb 21, 2025",store,
209,1077,22/02/2025,store,
210,1122,22/02/2025,web,
211,1283,"Feb 22, 2025",web,
212,1340,"Feb 22, 2025",store,268.34
213,1106,"Feb 23, 2025",app,
214,1048,"Feb 23, 2025",store,
215,1345,2025-02-23,app,232.62
216,1246,23/02/2025,app,166.63
217,1040,"Feb 24, 2025",web,194.42
218,1211,2025-02-24,store,
219,1162,"Feb 24, 2025",app,193.08
220,1373,"Feb 24, 2025",store,211.23
221,1007,25/02/2025,store,
222,1261,25/02/2025,web,225.86
223,1010,2025-02-25,app,224.84
224,1333,"Feb 25, 2025",web,232.3
225,1192,"Feb 26, 2025",web,
226,1232,26/02/2025,app,
227,1391,26/02/2025,app,
228,1182,26/02/2025,store,282.45
229,1173,2025-02-27,web,
230,1311,27/02/2025,web,267.08
231,1128,"Feb 27, 2025",app,235.13
232,1306,"Feb 27, 2025",web,
233,1102,"Feb 28, 2025",web,
234,1277,2025-02-28,web,205.19
235,1221,2025-02-28,app,
236,1156,2025-02-28,web,
237,1007,2025-03-01,app,165.98
238,1132,2025-03-01,web,215.23
239,1150,"Mar 01, 2025",web,
240,1273,01/03/2025,app,209.17
241,1373,02/03/2025,store,229.39
242,1174,02/03/2025,app,
243,1006,02/03/2025,app,
244,1305,02/03/2025,store,
245,1326,"Mar 03, 2025",app,163.85
246,1084,03/03/2025,store,202.84
247,1093,03/03/2025,store,
248,1318,"Mar 03, 2025",web,260.97
249,1341,2025-03-04,app,
250,1242,2025-03-04,store,
251,1067,2025-03-04,app,246.22
252,1362,"Mar 04, 2025",app,250.07
253,1182,"Mar 05, 2025",web,248.65
254,1107,05/03/2025,store,
255,1035,2025-03-05,app,253.56
256,1349,2025-03-05,web,
257,1018,06/03/2025,web,167.28
258,1169,"Mar 06, 2025",app,
259,1141,2025-03-06,web,
260,1128,"Mar 06, 2025",web,229.15
261,1135,"Mar 07, 2025",app,219.66
262,1331,07/03/2025,store,244.59
263,1202,07/03/2025,store,257.53
264,1239,2025-03-07,app,
265,1064,"Mar 08, 2025",store,239.33
266,1056,"Mar 08, 2025",store,226.97
267,1376,2025-03-08,store,163.6
268,1059,"Mar 08, 2025",store,
269,1241,2025-03-09,web,
270,1220,09/03/2025,store,180.64
271,1201,09/03/2025,store,
272,1338,09/03/2025,app,220.03
273,1004,"Mar 10, 2025",store,
274,1391,10/03/2025,app,220.07
275,1156,10/03/2025,web,173.68
276,1019,2025-03-10,app,252.67
277,1179,"Mar 11, 2025",app,165.84
278,1189,11/03/2025,web,219.85
279,1136,"Mar 11, 2025",web,
280,1239,"Mar 11, 2025",app,242.87
281,1283,"Mar 12, 2025",app,197.03
282,1159,12/03/2025,app,189.21
283,1335,2025-03-12,store,
284,1340,"Mar 12, 2025",app,265.66
285,1068,"Mar 13, 2025",web,
286,1127,2025-03-13,app,213.8
287,1167,13/03/2025,web,199.83
288,1018,13/03/2025,store,173.85
289,1270,"Mar 14, 2025",store,179.47
290,1394,"Mar 14, 2025",web,
291,1028,2025-03-14,web,159.57
292,1070,2025-03-14,app,
293,1270,"Mar 15, 2025",store,181.26
294,1110,2025-03-15,app,176.23
295,1193,"Mar 15, 2025",web,243.81
296,1354,2025-03-15,app,210.62
297,1189,"Mar 16, 2025",web,193.43
298,1333,16/03/2025,app,204.35
299,1020,"Mar 16, 2025",store,
300,1209,2025-03-16,app,
301,1134,"Mar 17, 2025",web,226.51
302,1039,"Mar 17, 2025",web,
303,1382,2025-03-17,web,
304,1116,17/03/2025,web,255.97
305,1011,"Mar 18, 2025",app,167.67
306,1119,18/03/2025,web,
307,1346,18/03/2025,store,222.66
308,1350,18/03/2025,web,
309,1182,"Mar 19, 2025",store,224.18
310,1203,"Mar 19, 2025",web,225.68
311,1247,2025-03-19,web,204.99
312,1029,"Mar 19, 2025",app,
313,1329,"Mar 20, 2025",web,
314,1346,20/03/2025,app,226.18
315,1362,2025-03-20,web,
316,1024,2025-03-20,store,
317,1300,2025-03-21,app,228.17
318,1241,2025-03-21,store,
319,1142,2025-03-21,web,
320,1095,2025-03-21,app,199.73
321,1309,22/03/2025,store,
322,1088,2025-03-22,app,
323,1231,2025-03-22,store,
324,1362,22/03/2025,store,194.44
325,1336,"Mar 23, 2025",web,187.05
326,1313,23/03/2025,app,218.02
327,1081,23/03/2025,web,214.15
328,1189,23/03/2025,web,
329,1225,24/03/2025,web,307.39
330,1281,"Mar 24, 2025",web,242.49
331,1170,2025-03-24,store,
332,1212,"Mar 24, 2025",store,237.08
333,1199,2025-03-25,web,
334,1152,25/03/2025,store,221.08
335,1220,2025-03-25,web,
336,1060,"Mar 25, 2025",store,177.01
337,1270,2025-03-26,web,221.26
338,1217,26/03/2025,store,250.98
339,1064,"Mar 26, 2025",store,235.01
340,1343,26/03/2025,web,285.7
341,1319,27/03/2025,store,
342,1082,2025-03-27,web,238.34
343,1297,27/03/2025,app,166.49
344,1155,2025-03-27,web,
345,1207,"Mar 28, 2025",store,205.58
346,1246,28/03/2025,web,173.9
347,1359,28/03/2025,store,
348,1135,28/03/2025,web,
349,1173,29/03/2025,store,181.12
350,1123,2025-03-29,store,166.94
351,1011,"Mar 29, 2025",web,191.04
352,1122,2025-03-29,store,
353,1301,30/03/2025,app,231.17
354,1183,"Mar 30, 2025",web,255.97
355,1218,30/03/2025,web,
356,1142,2025-03-30,app,181.91
357,1139,"Mar 31, 2025",store,205.15
358,1147,31/03/2025,store,225.06
359,1159,"Mar 31, 2025",store,
360,1210,31/03/2025,app,245.56
361,1285,"Apr 01, 2025",store,
362,1104,"Apr 01, 2025",app,
363,1253,2025-04-01,store,188.29
364,1303,"Apr 01, 2025",web,
365,1106,"Apr 02, 2025",store,220.69
366,1358,2025-04-02,web,
367,1356,02/04/2025,store,264.69
368,1292,"Apr 02, 2025",store,211.72
369,1015,03/04/2025,store,215.75
370,1389,2025-04-03,app,260.05
371,1164,03/04/2025,store,
372,1345,03/04/2025,web,237.88
373,1149,2025-04-04,store,211.72
374,1125,04/04/2025,app,192.89
375,1234,04/04/2025,app,187.48
376,1388,2025-04-04,app,190.8
377,1360,2025-04-05,web,
378,1157,2025-04-05,web,
379,1218,"Apr 05, 2025",web,
380,1359,"Apr 05, 2025",app,204.51
381,1053,2025-04-06,store,227.67
382,1268,2025-04-06,store,272.45
383,1392,"Apr 06, 2025",web,226.3
384,1073,2025-04-06,store,248.72
385,1308,07/04/2025,web,184.98
386,1300,2025-04-07,web,195.91
387,1190,2025-04-07,web,219.91
388,1333,07/04/2025,store,
389,1302,08/04/2025,store,
390,1109,"Apr 08, 2025",store,189.42
391,1038,2025-04-08,app,198.92
392,1272,08/04/2025,web,
393,1221,"Apr 09, 2025",app,207.13
394,1154,2025-04-09,web,234.02
395,1097,09/04/2025,store,224.57
396,1180,09/04/2025,app,
397,1261,"Apr 10, 2025",store,
398,1093,2025-04-10,web,158.0
399,1312,2025-04-10,store,203.68
400,1112,"Apr 10, 2025",app,227.69
401,1326,11/04/2025,app,202.75
402,1250,"Apr 11, 2025",app,
403,1119,2025-04-11,web,
404,1234,"Apr 11, 2025",web,261.24
405,1342,"Apr 12, 2025",store,
406,1184,2025-04-12,app,
407,1310,12/04/2025,store,
408,1138,12/04/2025,web,
409,1124,13/04/2025,web,184.77
410,1189,"Apr 13, 2025",app,223.34
411,1149,"Apr 13, 2025",web,
412,1147,"Apr 13, 2025",app,
413,1150,2025-04-14,store,
414,1239,"Apr 14, 2025",app,130.01
415,1303,14/04/2025,app,230.49
416,1025,14/04/2025,app,279.3
417,1321,"Apr 15, 2025",app,273.2
418,1164,"Apr 15, 2025",store,
419,1246,"Apr 15, 2025",app,
420,1278,15/04/2025,store,160.66
421,1005,2025-04-16,web,211.14
422,1365,16/04/2025,web,188.44
423,1077,"Apr 16, 2025",store,
424,1145,16/04/2025,app,
425,1025,"Apr 17, 2025",web,
426,1282,"Apr 17, 2025",app,245.6
427,1058,17/04/2025,store,205.56
428,1350,2025-04-17,store,
429,1169,2025-04-18,web,233.18
430,1226,18/04/2025,store,274.88
431,1003,2025-04-18,web,183.59
432,1036,18/04/2025,store,
433,1396,"Apr 19, 2025",store,
434,1204,19/04/2025,app,174.42
435,1244,"Apr 19, 2025",store,
436,1364,19/04/2025,web,
437,1324,2025-04-20,app,187.27
438,1326,"Apr 20, 2025",app,176.55
439,1113,20/04/2025,store,196.54
440,1383,"Apr 20, 2025",app,
441,1251,"Apr 21, 2025",web,
442,1240,21/04/2025,store,228.56
443,1191,2025-04-21,app,218.62
444,1290,21/04/2025,web,
445,1390,2025-04-22,app,244.42
446,1047,"Apr 22, 2025",web,265.76
447,1082,2025-04-22,store,217.31
448,1120,2025-04-22,app,244.12
449,1372,"Apr 23, 2025",app,202.11
450,1084,23/04/2025,web,
451,1148,23/04/2025,store,205.18
452,1246,"Apr 23, 2025",store,
453,1381,2025-04-24,web,183.84
454,1090,2025-04-24,app,
455,1207,"Apr 24, 2025",store,
456,1331,2025-04-24,web,
457,1392,25/04/2025,store,266.83
458,1070,"Apr 25, 2025",store,
459,1311,"Apr 25, 2025",web,234.53
460,1163,25/04/2025,app,
461,1058,"Apr 26, 2025",store,
462,1376,"Apr 26, 2025",app,239.99
463,1054,2025-04-26,web,187.29
464,1212,2025-04-26,store,
465,1337,27/04/2025,store,
466,1052,2025-04-27,web,255.38
467,1001,27/04/2025,web,
468,1316,2025-04-27,web,
469,1129,2025-04-28,store,232.5
470,1306,2025-04-28,app,
471,1281,"Apr 28, 2025",app,269.74
472,1017,"Apr 28, 2025",app,242.92
473,1241,"Apr 29, 2025",app,193.9
474,1087,2025-04-29,app,
475,1063,"Apr 29, 2025",store,
476,1075,2025-04-29,web,258.62
477,1033,"Apr 30, 2025",app,272.1
478,1000,2025-04-30,store,
479,1114,2025-04-30,app,223.8
480,1206,2025-04-30,app,
481,1127,2025-05-01,web,260.88
482,1189,01/05/2025,app,212.27
483,1109,01/05/2025,store,
484,1012,2025-05-01,store,207.77
485,1367,02/05/2025,app,
486,1098,2025-05-02,app,
487,1304,2025-05-02,store,
488,1035,"May 02, 2025",store,188.36
489,1221,"May 03, 2025",store,206.98
490,1390,03/05/2025,web,
491,1295,03/05/2025,store,186.51
492,1180,03/05/2025,app,
493,1306,"May 04, 2025",web,
494,1170,2025-05-04,store,255.97
495,1039,"May 04, 2025",app,
496,1060,"May 04, 2025",store,
497,1106,"May 05, 2025",web,199.54
498,1099,"May 05, 2025",store,
499,1219,2025-05-05,web,215.73
500,1344,05/05/2025,web,221.66
501,1078,"May 06, 2025",web,212.48
502,1017,06/05/2025,store,
503,1309,06/05/2025,web,203.35
504,1336,06/05/2025,web,182.63
505,1006,"May 07, 2025",web,193.54
506,1293,07/05/2025,app,
507,1126,07/05/2025,app,
508,1205,"May 07, 2025",app,224.42
509,1252,"May 08, 2025",app,242.87
510,1044,"May 08, 2025",app,
511,1117,08/05/2025,store,210.46
512,1003,2025-05-08,app,
513,1267,09/05/2025,app,
514,1169,2025-05-09,web,249.12
515,1097,"May 09, 2025",app,
516,1183,2025-05-09,app,
517,1073,10/05/2025,web,197.74
518,1253,"May 10, 2025",app,
519,1252,2025-05-10,web,
520,1264,10/05/2025,web,266.51
521,1001,11/05/2025,store,216.5
522,1265,2025-05-11,app,251.5
523,1037,11/05/2025,store,237.08
524,1092,"May 11, 2025",web,216.72
525,1087,2025-05-12,app,
526,1360,"May 12, 2025",web,236.46
527,1165,2025-05-12,store,
528,1033,"May 12, 2025",store,
529,1163,"May 13, 2025",app,
530,1254,2025-05-13,store,
531,1018,13/05/2025,app,292.74
532,1070,"May 13, 2025",web,
533,1100,2025-05-14,web,198.15
534,1252,14/05/2025,web,199.56
535,1257,"May 14, 2025",app,
536,1304,14/05/2025,store,244.7
537,1228,2025-05-15,web,209.68
538,1289,2025-05-15,app,200.2
539,1039,15/05/2025,web,
540,1188,15/05/2025,store,
541,1015,2025-05-16,web,
542,1330,2025-05-16,app,
543,1280,16/05/2025,store,
544,1249,"May 16, 2025",web,
545,1397,2025-05-17,app,189.01
546,1075,17/05/2025,web,210.73
547,1024,"May 17, 2025",web,
548,1010,17/05/2025,app,
549,1281,2025-05-18,web,197.96
550,1033,2025-05-18,app,258.59
551,1091,18/05/2025,app,203.54
552,1039,2025-05-18,app,
553,1367,19/05/2025,web,198.34
554,1333,"May 19, 2025",store,168.64
555,1254,"May 19, 2025",web,218.45
556,1189,19/05/2025,web,
557,1279,"May 20, 2025",app,201.75
558,1268,2025-05-20,web,227.46
559,1206,20/05/2025,app,159.32
560,1320,2025-05-20,store,
561,1173,2025-05-21,web,
562,1144,2025-05-21,app,135.53
563,1297,2025-05-21,web,201.61
564,1020,"May 21, 2025",web,218.3
565,1097,22/05/2025,web,
566,1351,2025-05-22,web,243.81
567,1337,22/05/2025,web,202.86
568,1146,"May 22, 2025",web,
569,1329,2025-05-23,app,243.25
570,1128,"May 23, 2025",app,
571,1295,23/05/2025,store,
572,1359,"May 23, 2025",app,228.24
573,1315,2025-05-24,store,
574,1194,24/05/2025,web,251.03
575,1171,2025-05-24,store,174.6
576,1272,2025-05-24,web,
577,1224,25/05/2025,store,
578,1239,2025-05-25,store,
579,1094,25/05/2025,app,202.63
580,1174,"May 25, 2025",web,
581,1096,"May 26, 2025",app,
582,1241,26/05/2025,store,
583,1094,"May 26, 2025",web,271.99
584,1189,2025-05-26,app,255.87
585,1330,2025-05-27,web,
586,1020,"May 27, 2025",web,
587,1248,2025-05-27,store,
588,1239,27/05/2025,web,225.55
589,1187,2025-05-28,store,210.2
590,1068,"May 28, 2025",store,252.33
591,1379,2025-05-28,app,
592,1126,2025-05-28,app,
593,1165,2025-05-29,web,262.85
594,1250,29/05/2025,web,191.82
595,1011,"May 29, 2025",store,236.48
596,1377,2025-05-29,app,
597,1141,"May 30, 2025",store,
598,1036,30/05/2025,app,201.45
599,1078,"May 30, 2025",web,232.69
600,1135,"May 30, 2025",store,
601,1211,"May 31, 2025",web,
602,1070,2025-05-31,store,
603,1064,2025-05-31,web,191.44
604,1327,"May 31, 2025",store,225.43
605,1316,01/06/2025,store,
606,1036,"Jun 01, 2025",store,
607,1147,2025-06-01,web,
608,1314,2025-06-01,web,
609,1005,"Jun 02, 2025",app,219.05
610,1246,02/06/2025,web,221.56
611,1313,"Jun 02, 2025",store,
612,1091,"Jun 02, 2025",app,197.76
613,1029,03/06/2025,web,190.05
614,1072,"Jun 03, 2025",app,214.97
615,1284,2025-06-03,web,266.45
616,1003,03/06/2025,web,199.69
617,1174,2025-06-04,app,
618,1347,04/06/2025,store,
619,1395,2025-06-04,store,
620,1056,04/06/2025,web,
621,1097,05/06/2025,app,285.37
622,1235,2025-06-05,web,
623,1356,05/06/2025,app,179.4
624,1045,"Jun 05, 2025",app,
625,1310,2025-06-06,app,
626,1013,06/06/2025,app,248.55
627,1112,"Jun 06, 2025",app,275.12
628,1311,"Jun 06, 2025",store,
629,1102,2025-06-07,store,260.27
630,1382,"Jun 07, 2025",store,220.68
631,1146,2025-06-07,store,260.04
632,1347,"Jun 07, 2025",app,231.11
633,1124,2025-06-08,app,
634,1162,"Jun 08, 2025",web,223.81
635,1222,"Jun 08, 2025",app,
636,1312,2025-06-08,web,247.07
637,1199,2025-06-09,app,263.81
638,1126,"Jun 09, 2025",web,245.93
639,1163,2025-06-09,web,239.59
640,1393,2025-06-09,web,199.68
641,1025,2025-06-10,store,217.68
642,1141,2025-06-10,web,283.94
643,1257,2025-06-10,web,227.88
644,1339,10/06/2025,store,
645,1255,11/06/2025,store,277.7
646,1001,2025-06-11,app,
647,1166,11/06/2025,store,
648,1239,11/06/2025,store,256.17
649,1210,"Jun 12, 2025",app,
650,1213,"Jun 12, 2025",web,245.53
651,1119,2025-06-12,store,241.38
652,1180,"Jun 12, 2025",web,244.88
653,1354,"Jun 13, 2025",web,188.18
654,1350,"Jun 13, 2025",web,231.77
655,1128,2025-06-13,web,275.76
656,1297,13/06/2025,store,209.2
657,1398,2025-06-14,web,263.86
658,1156,"Jun 14, 2025",store,
659,1305,"Jun 14, 2025",app,204.8
660,1242,"Jun 14, 2025",app,213.51
661,1226,15/06/2025,web,261.34
662,1290,2025-06-15,web,
663,1154,"Jun 15, 2025",web,
664,1331,15/06/2025,web,
665,1082,16/06/2025,app,243.55
666,1219,2025-06-16,store,
667,1287,"Jun 16, 2025",web,
668,1184,2025-06-16,store,
669,1373,"Jun 17, 2025",store,
670,1160,"Jun 17, 2025",store,200.71
671,1029,2025-06-17,store,
672,1191,2025-06-17,store,
673,1359,2025-06-18,web,
674,1057,2025-06-18,app,239.62
675,1328,18/06/2025,store,
676,1015,18/06/2025,web,163.46
677,1309,"Jun 19, 2025",app,231.46
678,1154,2025-06-19,store,
679,1338,19/06/2025,web,258.82
680,1189,19/06/2025,app,
681,1091,"Jun 20, 2025",app,
682,1274,"Jun 20, 2025",app,271.12
683,1029,2025-06-20,app,
684,1304,"Jun 20, 2025",store,232.25
685,1025,"Jun 21, 2025",store,
686,1247,21/06/2025,app,254.08
687,1300,2025-06-21,web,232.09
688,1041,"Jun 21, 2025",store,186.62
689,1311,2025-06-22,web,206.37
690,1283,22/06/2025,app,295.94
691,1160,2025-06-22,web,
692,1209,"Jun 22, 2025",app,231.03
693,1305,23/06/2025,store,229.96
694,1127,23/06/2025,web,237.87
695,1106,2025-06-23,app,
696,1149,"Jun 23, 2025",web,
697,1199,"Jun 24, 2025",app,232.41
698,1121,2025-06-24,store,206.62
699,1011,24/06/2025,store,277.31
700,1224,"Jun 24, 2025",app,
701,1213,"Jun 25, 2025",store,
702,1286,2025-06-25,store,
703,1301,2025-06-25,store,205.25
704,1394,"Jun 25, 2025",app,242.71
705,1058,"Jun 26, 2025",store,
706,1173,"Jun 26, 2025",app,324.85
707,1342,2025-06-26,store,
708,1290,"Jun 26, 2025",store,313.16
709,1287,2025-06-27,web,
710,1373,"Jun 27, 2025",app,282.77
711,1113,2025-06-27,app,
712,1279,"Jun 27, 2025",web,264.8
713,1269,"Jun 28, 2025",store,
714,1175,2025-06-28,app,
715,1395,2025-06-28,store,259.65
716,1033,2025-06-28,web,221.69
717,1276,29/06/2025,app,
718,1149,2025-06-29,store,265.33
719,1333,2025-06-29,web,229.89
720,1324,"Jun 29, 2025",store,289.22
721,1101,"Jun 30, 2025",web,217.75
722,1025,"Jun 30, 2025",app,229.23
723,1142,2025-06-30,store,266.5
724,1075,"Jun 30, 2025",store,177.83
725,1120,2025-07-01,app,
726,1035,2025-07-01,web,256.0
727,1287,"Jul 01, 2025",app,220.7
728,1277,"Jul 01, 2025",web,205.78
729,1221,02/07/2025,app,
730,1339,2025-07-02,store,
731,1046,"Jul 02, 2025",web,
732,1239,02/07/2025,app,
733,1227,03/07/2025,web,
734,1253,2025-07-03,app,233.05
735,1157,"Jul 03, 2025",web,280.07
736,1175,03/07/2025,app,
737,1227,2025-07-04,store,
738,1245,"Jul 04, 2025",store,281.73
739,1100,04/07/2025,app,220.48
740,1230,"Jul 04, 2025",app,214.57
741,1239,05/07/2025,web,252.37
742,1229,2025-07-05,web,259.36
743,1288,"Jul 05, 2025",web,240.27
744,1193,"Jul 05, 2025",web,271.94
745,1340,"Jul 06, 2025",store,
746,1358,2025-07-06,web,
747,1098,2025-07-06,store,259.96
748,1076,2025-07-06,web,
749,1291,07/07/2025,web,
750,1200,07/07/2025,web,244.49
751,1028,07/07/2025,app,
752,1137,2025-07-07,web,
753,1327,"Jul 08, 2025",store,
754,1233,"Jul 08, 2025",web,212.81
755,1270,2025-07-08,store,236.81
756,1373,"Jul 08, 2025",app,
757,1007,09/07/2025,store,243.04
758,1182,2025-07-09,web,211.43
759,1041,"Jul 09, 2025",app,
760,1306,2025-07-09,web,228.9
761,1062,"Jul 10, 2025",app,205.48
762,1046,10/07/2025,store,203.99
763,1391,10/07/2025,web,265.63
764,1365,2025-07-10,store,
765,1068,11/07/2025,app,249.42
766,1368,"Jul 11, 2025",web,
767,1085,11/07/2025,web,210.46
768,1121,11/07/2025,app,
769,1294,2025-07-12,web,209.33
770,1343,"Jul 12, 2025",app,236.29
771,1108,12/07/2025,store,
772,1074,12/07/2025,web,
773,1253,13/07/2025,app,209.37
774,1232,"Jul 13, 2025",app,
775,1212,"Jul 13, 2025",web,
776,1374,13/07/2025,store,
777,1195,2025-07-14,store,295.63
778,1209,14/07/2025,web,
