order_id,order_date,region,variant,converted,revenue,session_duration_sec,bounced
O000120,2024-06-01,West,treatment,0,0.0,248,0
O000121,2024-06-01,North,treatment,0,0.0,247,0
O000122,2024-06-01,South,control,0,0.0,266,1
O000123,2024-06-01,North,treatment,0,0.0,235,1
O000124,2024-06-01,South,control,0,0.0,342,1
O000125,2024-06-01,West,control,0,0.0,248,0
O000126,2024-06-01,North,treatment,0,0.0,258,1
O000127,2024-06-01,South,control,1,33.2,315,0
O000128,2024-06-01,South,control,0,0.0,315,1
O000129,2024-06-01,North,treatment,1,91.78,261,1
O000130,2024-06-01,North,control,0,0.0,318,0
O000131,2024-06-01,North,treatment,0,0.0,236,0
O000132,2024-06-01,South,treatment,0,0.0,263,0
O000133,2024-06-01,North,control,0,0.0,312,1
O000134,2024-06-01,North,treatment,0,0.0,286,1
O000135,2024-06-01,North,control,0,0.0,288,0
O000136,2024-06-01,West,control,0,0.0,302,0
O000137,2024-06-01,North,control,0,0.0,290,0
O000138,2024-06-01,North,control,0,0.0,319,0
O000139,2024-06-01,South,control,0,0.0,340,0
O000140,2024-06-01,North,control,1,68.55,309,0
O000141,2024-06-01,South,control,0,0.0,270,1
O000142,2024-06-01,North,control,1,6.31,276,0
O000143,2024-06-01,North,treatment,1,43.9,232,1
O000144,2024-06-01,North,control,1,55.23,323,1
O000145,2024-06-01,South,treatment,0,0.0,281,0
O000146,2024-06-01,North,treatment,0,0.0,229,1
O000147,2024-06-01,West,control,0,0.0,318,1
O000148,2024-06-01,South,control,1,36.33,275,0
O000149,2024-06-01,West,control,1,6.94,325,1
O000150,2024-06-01,West,treatment,0,0.0,303,1
O000151,2024-06-01,North,control,0,0.0,310,0
O000152,2024-06-01,North,treatment,0,0.0,291,0
O000153,2024-06-01,West,treatment,0,0.0,285,0
O000154,2024-06-01,North,control,1,18.8,298,0
O000155,2024-06-01,North,treatment,0,0.0,192,1
O000156,2024-06-01,West,treatment,1,5.86,274,0
O000157,2024-06-01,South,control,0,0.0,311,0
O000158,2024-06-01,South,control,0,0.0,247,1
O000159,2024-06-01,West,control,0,0.0,319,1
O000160,2024-06-01,North,control,0,0.0,259,0
O000161,2024-06-01,West,control,0,0.0,292,0
O000162,2024-06-01,North,treatment,0,0.0,213,1
O000163,2024-06-01,North,treatment,0,0.0,246,1
O000164,2024-06-01,North,control,1,19.18,295,1
O000165,2024-06-01,North,treatment,0,0.0,279,0
O000166,2024-06-01,North,treatment,0,0.0,187,1
O000167,2024-06-01,North,treatment,0,0.0,246,1
O000168,2024-06-01,North,treatment,0,0.0,263,1
O000169,2024-06-01,North,treatment,0,0.0,260,0
O000170,2024-06-01,West,control,0,0.0,360,0
O000171,2024-06-01,West,treatment,0,0.0,239,0
O000172,2024-06-01,South,control,0,0.0,234,1
O000173,2024-06-01,South,treatment,0,0.0,209,1
O000174,2024-06-01,West,control,0,0.0,312,0
O000175,2024-06-01,North,treatment,1,7.72,244,0
O000176,2024-06-01,North,treatment,0,0.0,274,1
O000177,2024-06-01,North,control,0,0.0,266,1
O000178,2024-06-01,North,treatment,1,8.32,279,0
O000179,2024-06-01,West,treatment,1,17.26,242,1
O000180,2024-06-01,West,control,1,51.85,352,0
O000181,2024-06-01,West,control,0,0.0,299,1
O000182,2024-06-01,North,treatment,0,0.0,262,0
O000183,2024-06-01,West,control,0,0.0,319,0
O000184,2024-06-01,North,control,0,0.0,327,1
O000185,2024-06-01,West,control,1,16.96,253,0
O000186,2024-06-01,North,treatment,0,0.0,275,1
O000187,2024-06-01,South,treatment,0,0.0,274,0
O000188,2024-06-01,North,treatment,1,122.17,211,1
O000189,2024-06-01,North,control,0,0.0,312,0
O000190,2024-06-01,North,control,1,132.16,274,0
O000191,2024-06-01,North,treatment,0,0.0,274,0
O000192,2024-06-01,South,control,0,0.0,337,0
O000193,2024-06-01,North,treatment,0,0.0,229,0
O000194,2024-06-01,West,control,0,0.0,300,0
O000195,2024-06-01,South,control,1,69.81,306,0
O000196,2024-06-01,West,control,0,0.0,321,1
O000197,2024-06-01,North,treatment,1,3.09,271,0
O000198,2024-06-01,North,control,0,0.0,301,0
O000199,2024-06-01,North,control,0,0.0,331,0
O000200,2024-06-01,North,treatment,0,0.0,259,1
O000201,2024-06-01,North,treatment,0,0.0,258,1
O000202,2024-06-01,North,control,0,0.0,281,1
O000203,2024-06-01,North,treatment,0,0.0,280,1
O000204,2024-06-01,North,treatment,0,0.0,231,1
O000205,2024-06-01,North,treatment,0,0.0,267,1
O000206,2024-06-01,South,control,0,0.0,313,1
O000207,2024-06-01,North,control,0,0.0,318,1
O000208,2024-06-01,West,control,0,0.0,276,0
O000209,2024-06-01,West,control,0,0.0,303,1
O000210,2024-06-01,North,control,1,62.8,273,0
O000211,2024-06-01,North,treatment,0,0.0,225,1
O000212,2024-06-01,South,control,0,0.0,349,1
O000213,2024-06-01,North,control,0,0.0,316,0
O000214,2024-06-01,North,treatment,1,39.62,255,1
O000215,2024-06-01,South,treatment,1,13.58,268,1
O000216,2024-06-01,North,control,0,0.0,307,1
O000217,2024-06-01,South,control,0,0.0,268,1
O000218,2024-06-01,North,control,0,0.0,293,0
O000219,2024-06-01,North,treatment,0,0.0,233,1
O000220,2024-06-01,North,treatment,0,0.0,289,1
O000221,2024-06-01,West,treatment,0,0.0,218,1
O000222,2024-06-01,West,control,0,0.0,321,0
O000223,2024-06-01,North,treatment,0,0.0,343,1
O000224,2024-06-01,South,treatment,0,0.0,311,1
O000225,2024-06-01,West,control,0,0.0,333,0
O000226,2024-06-01,North,treatment,0,0.0,267,0
O000227,2024-06-01,North,control,0,0.0,318,1
O000228,2024-06-01,North,treatment,0,0.0,227,0
O000229,2024-06-01,South,treatment,0,0.0,291,0
O000230,2024-06-01,North,treatment,1,35.73,250,1
O000231,2024-06-01,North,treatment,1,36.63,263,0
O000232,2024-06-01,West,treatment,0,0.0,236,0
O000233,2024-06-01,South,control,0,0.0,354,0
O000234,2024-06-01,North,control,0,0.0,304,0
O000235,2024-06-01,South,control,1,8.89,268,1
O000236,2024-06-01,West,control,0,0.0,276,1
O000237,2024-06-01,North,treatment,0,0.0,245,0
O000238,2024-06-01,North,treatment,0,0.0,255,1
O000239,2024-06-01,South,control,0,0.0,273,0
O000240,2024-06-01,North,treatment,0,0.0,220,1
O000241,2024-06-01,North,control,0,0.0,302,0
O000242,2024-06-01,North,control,0,0.0,318,0
O000243,2024-06-01,West,control,0,0.0,240,1
O000244,2024-06-01,North,control,1,19.48,265,0
O000245,2024-06-01,North,control,1,6.93,298,0
O000246,2024-06-01,North,treatment,0,0.0,258,0
O000247,2024-06-01,South,control,0,0.0,320,0
O000248,2024-06-01,North,treatment,0,0.0,251,1
O000249,2024-06-01,South,control,1,27.87,306,0
O000250,2024-06-01,North,treatment,0,0.0,273,1
O000251,2024-06-01,South,treatment,0,0.0,253,1
O000252,2024-06-01,South,treatment,0,0.0,269,0
O000253,2024-06-01,South,treatment,0,0.0,296,1
O000254,2024-06-01,North,treatment,0,0.0,259,1
O000255,2024-06-01,West,treatment,0,0.0,274,0
O000256,2024-06-01,South,control,0,0.0,289,1
O000257,2024-06-01,West,treatment,0,0.0,278,0
O000258,2024-06-01,North,treatment,0,0.0,245,1
O000259,2024-06-01,North,treatment,0,0.0,288,1
O000260,2024-06-01,South,control,0,0.0,291,0
O000261,2024-06-01,North,treatment,0,0.0,261,1
O000262,2024-06-01,North,treatment,0,0.0,236,1
O000263,2024-06-01,North,treatment,0,0.0,269,1
O000264,2024-06-01,West,control,0,0.0,317,1
O000265,2024-06-01,North,control,0,0.0,330,0
O000266,2024-06-01,North,control,1,15.29,269,1
O000267,2024-06-01,West,treatment,0,0.0,262,1
O000268,2024-06-01,North,control,0,0.0,314,1
O000269,2024-06-01,North,control,0,0.0,303,0
O000270,2024-06-01,South,treatment,0,0.0,235,1
O000271,2024-06-01,North,control,0,0.0,352,0
O000272,2024-06-01,North,control,0,0.0,277,0
O000273,2024-06-01,South,control,0,0.0,299,1
O000274,2024-06-01,West,control,0,0.0,295,1
O000275,2024-06-01,North,treatment,1,5.84,190,0
O000276,2024-06-01,North,treatment,0,0.0,250,1
O000277,2024-06-01,West,control,0,0.0,274,0
O000278,2024-06-01,South,control,0,0.0,323,1
O000279,2024-06-01,North,treatment,1,76.3,305,0
O000280,2024-06-01,North,treatment,0,0.0,250,0
O000281,2024-06-01,North,treatment,0,0.0,291,1
O000282,2024-06-01,South,treatment,0,0.0,271,0
O000283,2024-06-01,North,control,0,0.0,250,1
O000284,2024-06-01,North,control,0,0.0,251,0
O000285,2024-06-01,North,treatment,0,0.0,255,0
O000286,2024-06-01,North,control,0,0.0,253,0
O000287,2024-06-01,North,control,0,0.0,322,1
O000288,2024-06-01,North,treatment,0,0.0,247,1
O000289,2024-06-01,North,treatment,0,0.0,285,0
O000290,2024-06-01,West,control,0,0.0,307,1
O000291,2024-06-01,South,control,0,0.0,300,1
O000292,2024-06-01,North,treatment,0,0.0,231,0
O000293,2024-06-01,West,control,0,0.0,275,1
O000294,2024-06-01,South,control,0,0.0,292,0
O000295,2024-06-01,West,control,0,0.0,259,1
O000296,2024-06-01,South,treatment,0,0.0,252,0
O000297,2024-06-01,South,control,0,0.0,255,0
O000298,2024-06-01,South,control,0,0.0,282,1
O000299,2024-06-01,South,control,0,0.0,334,0
O000300,2024-06-01,North,treatment,0,0.0,187,0
O000301,2024-06-01,North,control,1,20.82,313,1
O000302,2024-06-01,North,treatment,0,0.0,244,1
O000303,2024-06-01,North,treatment,0,0.0,259,0
O000304,2024-06-01,West,treatment,0,0.0,267,0
O000305,2024-06-01,North,treatment,1,16.56,233,1
O000306,2024-06-01,North,control,1,32.14,267,0
O000307,2024-06-01,North,control,0,0.0,272,1
O000308,2024-06-01,North,control,0,0.0,322,1
O000309,2024-06-01,South,control,0,0.0,305,0
O000310,2024-06-01,West,control,0,0.0,208,1
O000311,2024-06-01,North,treatment,0,0.0,200,1
O000312,2024-06-01,North,treatment,0,0.0,282,0
O000313,2024-06-01,West,control,0,0.0,261,0
O000314,2024-06-01,West,control,1,35.69,288,1
O000315,2024-06-01,South,treatment,0,0.0,230,0
O000316,2024-06-01,South,control,0,0.0,282,0
O000317,2024-06-01,North,treatment,0,0.0,241,1
O000318,2024-06-01,North,treatment,1,28.95,280,1
O000319,2024-06-01,North,treatment,0,0.0,258,1
O000320,2024-06-01,North,treatment,0,0.0,233,1
O000321,2024-06-01,North,treatment,1,5.99,260,0
O000322,2024-06-01,North,control,0,0.0,301,0
O000323,2024-06-01,South,control,0,0.0,309,1
O000324,2024-06-01,South,control,0,0.0,310,0
O000325,2024-06-01,West,control,0,0.0,283,1
O000326,2024-06-01,North,treatment,0,0.0,290,0
O000327,2024-06-01,West,treatment,1,28.34,294,1
O000328,2024-06-01,North,treatment,1,23.5,261,1
O000329,2024-06-01,North,treatment,1,54.5,267,0
O000330,2024-06-01,West,control,0,0.0,296,1
O000331,2024-06-01,North,control,0,0.0,342,0
O000332,2024-06-01,South,control,0,0.0,260,1
O000333,2024-06-01,North,treatment,0,0.0,246,0
O000334,2024-06-01,South,treatment,0,0.0,275,0
O000335,2024-06-01,South,control,0,0.0,291,1
O000336,2024-06-01,South,control,0,0.0,280,0
O000337,2024-06-01,West,control,0,0.0,326,0
O000338,2024-06-01,South,treatment,0,0.0,199,1
O000339,2024-06-01,West,control,1,25.79,303,0
O000340,2024-06-01,West,control,0,0.0,306,1
O000341,2024-06-01,South,control,0,0.0,288,1
O000342,2024-06-01,North,control,1,30.53,307,0
O000343,2024-06-01,North,control,1,13.39,299,1
O000344,2024-06-01,West,treatment,0,0.0,276,0
O000345,2024-06-01,West,control,0,0.0,356,1
O000346,2024-06-01,South,control,0,0.0,334,1
O000347,2024-06-01,North,control,0,0.0,249,1
O000348,2024-06-01,South,treatment,0,0.0,233,1
O000349,2024-06-01,North,treatment,0,0.0,244,0
O000350,2024-06-01,North,treatment,0,0.0,228,0
O000351,2024-06-01,North,treatment,0,0.0,234,1
O000352,2024-06-01,West,control,0,0.0,325,0
O000353,2024-06-01,North,control,0,0.0,325,1
O000354,2024-06-01,West,control,0,0.0,301,1
O000355,2024-06-01,North,treatment,1,43.65,246,0
O000356,2024-06-01,South,control,1,4.61,306,0
O000357,2024-06-01,North,treatment,0,0.0,279,0
O000358,2024-06-01,South,treatment,0,0.0,231,1
O000359,2024-06-01,North,treatment,0,0.0,201,0
O000360,2024-06-01,South,control,0,0.0,266,0
O000361,2024-06-01,West,control,0,0.0,350,1
O000362,2024-06-01,North,control,0,0.0,239,0
O000363,2024-06-01,North,treatment,0,0.0,272,1
O000364,2024-06-01,North,control,0,0.0,327,0
O000365,2024-06-01,North,control,0,0.0,338,0
O000366,2024-06-01,North,treatment,0,0.0,196,1
O000367,2024-06-01,North,control,0,0.0,338,1
O000368,2024-06-01,South,treatment,0,0.0,272,1
O000369,2024-06-01,West,treatment,0,0.0,264,1
O000370,2024-06-01,North,treatment,1,27.77,211,1
O000371,2024-06-01,South,control,0,0.0,261,0
O000372,2024-06-01,South,control,0,0.0,297,1
O000373,2024-06-01,South,treatment,0,0.0,216,1
O000374,2024-06-01,West,treatment,1,32.55,250,0
O000375,2024-06-01,North,control,0,0.0,314,1
O000376,2024-06-01,South,treatment,0,0.0,257,0
O000377,2024-06-01,North,control,0,0.0,317,1
O000378,2024-06-01,North,control,0,0.0,308,1
O000379,2024-06-01,West,control,0,0.0,277,0
O000380,2024-06-01,North,treatment,1,27.68,238,0
O000381,2024-06-01,South,treatment,0,0.0,262,0
O000382,2024-06-01,North,treatment,0,0.0,233,1
O000383,2024-06-01,South,control,1,2.65,330,0
O000384,2024-06-01,North,control,0,0.0,289,0
O000385,2024-06-01,North,control,0,0.0,356,0
O000386,2024-06-01,North,treatment,0,0.0,259,0
O000387,2024-06-01,North,control,0,0.0,260,1
O000388,2024-06-01,North,control,0,0.0,255,1
O000389,2024-06-01,North,control,0,0.0,318,0
O000390,2024-06-01,West,treatment,0,0.0,226,0
O000391,2024-06-01,North,treatment,0,0.0,270,1
O000392,2024-06-01,West,control,0,0.0,352,1
O000393,2024-06-01,West,control,0,0.0,355,1
O000394,2024-06-01,North,control,0,0.0,304,1
O000395,2024-06-01,South,control,0,0.0,300,1
O000396,2024-06-01,North,treatment,0,0.0,225,1
O000397,2024-06-01,West,control,0,0.0,298,0
O000398,2024-06-01,West,treatment,0,0.0,198,0
O000399,2024-06-01,West,control,1,22.17,323,1
O000400,2024-06-01,North,control,0,0.0,308,0
O000401,2024-06-01,North,treatment,0,0.0,236,0
O000402,2024-06-01,South,treatment,0,0.0,261,0
O000403,2024-06-01,North,treatment,1,15.02,238,0
O000404,2024-06-01,West,control,0,0.0,327,0
O000405,2024-06-01,West,treatment,0,0.0,286,1
O000406,2024-06-01,South,control,0,0.0,255,1
O000407,2024-06-01,South,treatment,0,0.0,234,0
O000408,2024-06-01,North,treatment,0,0.0,292,1
O000409,2024-06-01,North,treatment,0,0.0,271,1
O000410,2024-06-01,West,control,0,0.0,263,1
O000411,2024-06-01,West,control,1,20.07,275,1
O000412,2024-06-01,South,control,0,0.0,266,0
O000413,2024-06-01,North,control,0,0.0,266,0
O000414,2024-06-01,South,treatment,0,0.0,287,1
O000415,2024-06-01,North,control,1,16.58,275,0
O000416,2024-06-01,West,control,0,0.0,304,0
O000417,2024-06-01,North,treatment,0,0.0,232,1
O000418,2024-06-01,South,control,0,0.0,345,1
O000419,2024-06-01,North,control,0,0.0,249,0
O000420,2024-06-01,South,control,1,5.58,312,0
O000421,2024-06-01,West,treatment,0,0.0,214,0
O000422,2024-06-01,North,control,0,0.0,280,0
O000423,2024-06-01,North,control,0,0.0,303,0
O000424,2024-06-01,North,treatment,0,0.0,268,0
O000425,2024-06-01,North,control,0,0.0,310,0
O000426,2024-06-01,North,treatment,0,0.0,276,1
O000427,2024-06-01,North,control,0,0.0,303,1
O000428,2024-06-01,North,treatment,0,0.0,225,0
O000429,2024-06-01,South,control,0,0.0,346,0
O000430,2024-06-01,North,control,0,0.0,263,0
O000431,2024-06-01,West,treatment,0,0.0,252,1
O000432,2024-06-01,North,treatment,1,42.65,291,0
O000433,2024-06-01,North,treatment,0,0.0,276,0
O000434,2024-06-01,West,control,0,0.0,295,1
O000435,2024-06-01,South,control,0,0.0,286,0
O000436,2024-06-01,South,control,0,0.0,229,1
O000437,2024-06-01,West,control,0,0.0,257,1
O000438,2024-06-01,North,treatment,0,0.0,242,1
O000439,2024-06-01,North,treatment,1,41.17,249,0
O000440,2024-06-01,South,treatment,0,0.0,239,0
O000441,2024-06-01,North,treatment,0,0.0,229,1
O000442,2024-06-01,North,control,0,0.0,334,1
O000443,2024-06-01,North,control,0,0.0,271,1
O000444,2024-06-01,South,control,0,0.0,321,1
O000445,2024-06-01,North,treatment,0,0.0,265,0
O000446,2024-06-01,North,treatment,0,0.0,251,1
O000447,2024-06-01,North,treatment,0,0.0,231,1
O000448,2024-06-01,North,control,0,0.0,281,1
O000449,2024-06-01,North,control,0,0.0,350,1
O000450,2024-06-01,South,control,0,0.0,343,0
O000451,2024-06-01,West,control,0,0.0,330,0
O000452,2024-06-01,South,treatment,0,0.0,240,1
O000453,2024-06-01,North,treatment,1,43.54,306,1
O000454,2024-06-01,North,control,0,0.0,291,1
O000455,2024-06-01,North,treatment,0,0.0,244,0
O000456,2024-06-01,North,control,0,0.0,297,0
O000457,2024-06-01,West,treatment,0,0.0,278,1
O000458,2024-06-01,North,treatment,1,18.12,246,0
O000459,2024-06-01,West,control,0,0.0,344,0
O000460,2024-06-01,North,control,0,0.0,259,0
O000461,2024-06-01,North,treatment,1,40.16,273,0
O000462,2024-06-01,North,control,0,0.0,295,1
O000463,2024-06-01,West,treatment,0,0.0,302,1
O000464,2024-06-01,North,control,1,43.5,295,1
O000465,2024-06-01,West,control,0,0.0,316,1
O000466,2024-06-01,North,treatment,0,0.0,281,1
O000467,2024-06-01,North,treatment,0,0.0,211,0
O000468,2024-06-01,West,control,0,0.0,248,0
O000469,2024-06-01,North,control,0,0.0,362,0
O000470,2024-06-01,North,treatment,0,0.0,274,1
O000471,2024-06-01,West,control,0,0.0,289,1
O000472,2024-06-01,South,treatment,1,38.25,241,0
O000473,2024-06-01,North,control,0,0.0,306,0
O000474,2024-06-01,South,control,0,0.0,316,1
O000475,2024-06-01,North,treatment,0,0.0,224,1
O000476,2024-06-01,South,control,0,0.0,313,0
O000477,2024-06-01,North,treatment,0,0.0,285,1
O000478,2024-06-01,North,treatment,0,0.0,224,0
O000479,2024-06-01,North,control,0,0.0,289,0
O000480,2024-06-01,South,control,0,0.0,333,1
O000481,2024-06-01,North,treatment,0,0.0,211,0
O000482,2024-06-01,North,control,0,0.0,263,1
O000483,2024-06-01,North,treatment,1,34.18,266,0
O000484,2024-06-01,North,treatment,0,0.0,230,0
O000485,2024-06-01,North,treatment,0,0.0,262,0
O000486,2024-06-01,South,control,0,0.0,302,0
O000487,2024-06-01,West,control,0,0.0,296,1
O000488,2024-06-01,North,treatment,0,0.0,188,1
O000489,2024-06-01,West,control,1,41.12,331,0
O000490,2024-06-01,South,control,0,0.0,319,0
O000491,2024-06-01,North,control,0,0.0,305,1
O000492,2024-06-01,West,control,0,0.0,282,0
O000493,2024-06-01,South,control,0,0.0,271,0
O000494,2024-06-01,North,control,0,0.0,270,0
O000495,2024-06-01,South,control,0,0.0,262,0
O000496,2024-06-01,North,treatment,1,40.98,257,1
O000497,2024-06-01,West,control,0,0.0,295,0
O000498,2024-06-01,North,control,0,0.0,281,1
O000499,2024-06-01,North,control,0,0.0,241,1
O000500,2024-06-01,North,treatment,0,0.0,240,1
O000501,2024-06-01,North,treatment,0,0.0,232,1
O000502,2024-06-01,South,control,0,0.0,266,1
O000503,2024-06-01,North,control,0,0.0,324,0
O000504,2024-06-01,South,treatment,1,16.76,247,0
O000505,2024-06-01,West,control,0,0.0,330,0
O000506,2024-06-01,North,treatment,0,0.0,233,1
O000507,2024-06-01,West,treatment,0,0.0,206,0
O000508,2024-06-01,West,control,0,0.0,353,0
O000509,2024-06-01,West,control,0,0.0,292,1
O000510,2024-06-01,North,control,0,0.0,221,1
O000511,2024-06-01,North,control,0,0.0,327,1
O000512,2024-06-01,West,treatment,0,0.0,268,1
O000513,2024-06-01,North,treatment,1,11.92,218,1
O000514,2024-06-01,North,treatment,0,0.0,274,0
O000515,2024-06-01,North,treatment,0,0.0,293,1
O000516,2024-06-01,North,control,0,0.0,269,1
O000517,2024-06-01,North,treatment,0,0.0,258,0
O000518,2024-06-01,North,treatment,0,0.0,179,0
O000519,2024-06-01,West,treatment,0,0.0,240,0
O000520,2024-06-01,North,treatment,0,0.0,249,1
O000521,2024-06-01,North,control,0,0.0,302,0
O000522,2024-06-01,North,treatment,0,0.0,286,0
O000523,2024-06-01,North,control,0,0.0,339,0
O000524,2024-06-01,North,treatment,0,0.0,266,0
O000525,2024-06-01,West,treatment,0,0.0,275,1
O000526,2024-06-01,West,control,0,0.0,332,0
O000527,2024-06-01,North,treatment,0,0.0,284,0
O000528,2024-06-01,North,treatment,0,0.0,287,0
O000529,2024-06-01,North,control,0,0.0,303,1
O000530,2024-06-01,West,control,0,0.0,296,0
O000531,2024-06-01,North,control,1,45.91,312,1
O000532,2024-06-01,West,control,0,0.0,302,0
O000533,2024-06-01,North,treatment,0,0.0,229,1
O000534,2024-06-01,North,control,0,0.0,321,1
O000535,2024-06-01,North,control,1,17.8,309,1
O000536,2024-06-01,South,control,0,0.0,272,1
O000537,2024-06-01,North,treatment,1,9.31,241,0
